Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Subhajit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
2,Subhadeep,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
3,Subho,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
4,Subhankar,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
5,Anirban,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
6,Aniruddha,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
7,Anupam,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
8,Arijit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
9,Abhijit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
10,Abhishek,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
11,Amit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
12,Ayan,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
13,Ayanjit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
14,Ayush,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
15,Bikash,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
16,Biplab,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
17,Biswajit,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
18,Debabrata,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
19,Debajyoti,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
20,Debanjan,top_20_very_common,Bengali,male,Estimated Bengali male given-name pool for game use
21,Debasish,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
22,Debashis,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
23,Debashish,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
24,Debjit,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
25,Debojyoti,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
26,Dipankar,21_50_common,Bengali,male,Estimated Bengali male given-name pool for game use
