Rank,Name,RarityLayer,BucketSource,Country,Gender,Notes
1,Sok,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
2,Sam,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
3,Chan,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
4,Sokha,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
5,Sarin,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
6,Chantha,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
7,San,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
8,Kim,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
9,Samnang,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
10,Sophal,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
11,Vanna,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
12,Chea,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
13,Khan,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
14,Saroeun,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
15,Chamroeun,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
16,Touch,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
17,Ratha,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
18,Seng,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
19,Veasna,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
20,Vuthy,top_20_very_common,very_common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
21,Sophat,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
22,Savoeun,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
23,Sophon,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
24,Samat,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
25,Ratana,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
26,Saron,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
27,Leang,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
28,Kong,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
29,Vannak,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
30,Sovann,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
31,Sopheak,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
32,Sareth,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
33,Sina,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
34,Heng,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
35,Phan,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
36,Chenda,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
37,Phalla,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
38,Han,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
39,Rithy,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
40,Sambath,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
41,Dara,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
42,Kosal,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
43,Vibol,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
44,Makara,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
45,Pich,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
46,Rithisak,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
47,Narith,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
48,Munny,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
49,Rathanak,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
50,Visal,21_50_common,common,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
51,Vireak,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
52,Vireakboth,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
53,Vithu,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
54,Vithara,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
55,Vichet,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
56,Viseth,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
57,Visoth,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
58,Visothirith,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
59,Vichear,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
60,Noreaksey,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
61,Nimith,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
62,Nimol,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
63,Oudom,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
64,Phirun,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
65,Phirum,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
66,Phala,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
67,Pheakdei,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
68,Ponleu,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
69,Ponleak,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
70,Prak,51_100_normal,normal,Cambodia,male,Estimated Khmer/Cambodian male given-name ranking for game use
