Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Amit,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
2,Rahul,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
3,Ankit,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
4,Abhishek,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
5,Ashish,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
6,Pankaj,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
7,Deepak,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
8,Manish,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
9,Pradeep,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
10,Sandeep,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
11,Rajesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
12,Rakesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
13,Mukesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
14,Dinesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
15,Umesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
16,Suresh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
17,Naresh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
18,Mahesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
19,Ramesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
20,Ganesh,top_20_very_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
21,Vivek,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
22,Vikas,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
23,Varun,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
24,Vipin,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
25,Nitin,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
26,Rohit,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
27,Mohit,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
28,Saurabh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
29,Gaurav,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
30,Piyush,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
31,Anurag,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
32,Shivam,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
33,Shubham,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
34,Aditya,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
35,Arvind,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
36,Arun,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
37,Akhilesh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
38,Awadhesh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
39,Avdhesh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
40,Balram,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
41,Bhupendra,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
42,Chandan,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
43,Devendra,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
44,Dheeraj,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
45,Dharmendra,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
46,Jitendra,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
47,Lalit,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
48,Lokesh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
49,Mithilesh,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
50,Neeraj,21_50_common,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
51,Niraj,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
52,Pawan,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
53,Pawan Kumar,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
54,Pramod,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
55,Prashant,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
56,Praveen,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
57,Ravi,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
58,Rajeev,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
59,Rajiv,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
60,Ranjeet,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
61,Sachin,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
62,Sanjay,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
63,Satish,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
64,Sharad,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
65,Shashank,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
66,Suraj,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
67,Uday,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
68,Vinay,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
69,Vinod,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
70,Yogendra,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
71,Yogesh,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
72,Ajay,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
73,Amar,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
74,Anand,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
75,Atul,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
76,Brijesh,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
77,Dilip,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
78,Kailash,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
79,Kanhaiya,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
80,Keshav,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
81,Krishna,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
82,Madan,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
83,Manoj,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
84,Narendra,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
85,Naveen,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
86,Omprakash,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
87,Pratap,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
88,Raghvendra,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
89,Rajkumar,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
90,Ramakant,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
91,Ramashankar,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
92,Rinku,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
93,Shailendra,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
94,Shankar,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
95,Sunil,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
96,Tej Pratap,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
97,Vijay,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
98,Vijendra,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
99,Aashish,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
100,Bhanu,51_100_normal,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
101,Bhaskar,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
102,Devashish,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
103,Harendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
104,Hemant,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
105,Jai Prakash,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
106,Munna,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
107,Nand Kishore,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
108,Prabhat,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
109,Raghuvansh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
110,Rajan,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
111,Ramnath,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
112,Santosh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
113,Sudhir,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
114,Upendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
115,Vimal,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
116,Anuj,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
117,Anup,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
118,Brijendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
119,Chirag,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
120,Devesh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
121,Girish,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
122,Harsh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
123,Jayant,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
124,Kamal,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
125,Kapil,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
126,Lakhan,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
127,Manav,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
128,Mannu,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
129,Mithun,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
130,Nilesh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
131,Niranjan,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
132,Puneet,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
133,Raghunath,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
134,Rajat,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
135,Rajendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
136,Rajveer,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
137,Ravindra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
138,Shivendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
139,Shreyansh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
140,Sudhanshu,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
141,Sushil,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
142,Ujjwal,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
143,Vatsal,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
144,Vikrant,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
145,Virendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
146,Yash,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
147,Abhay,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
148,Ajit,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
149,Amresh,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
150,Arpit,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
151,Basant,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
152,Gyanendra,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
153,Hemraj,101_plus_rare,India N Gangetic,male,Estimated India N Gangetic male given-name pool for game use
