Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Harpreet,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
2,Gurpreet,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
3,Manpreet,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
4,Jaspreet,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
5,Navjot,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
6,Navdeep,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
7,Jaspal,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
8,Gurjit,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
9,Kuldeep,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
10,Sandeep,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
11,Paramjit,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
12,Parminder,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
13,Ranjit,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
14,Baljit,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
15,Daljit,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
16,Amritpal,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
17,Gurvinder,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
18,Jatinder,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
19,Mandeep,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
20,Rajinder,top_20_very_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
21,Rajinderpal,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
22,Surinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
23,Sukhwinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
24,Gurmeet,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
25,Jagjit,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
26,Sarbjit,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
27,Gursharan,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
28,Gurtej,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
29,Jaswinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
30,Kulwinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
31,Maninder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
32,Balwinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
33,Harbhajan,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
34,Harinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
35,Hardeep,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
36,Gurkaran,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
37,Gurkirat,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
38,Gurpinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
39,Harjit,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
40,Harman,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
41,Harmanpreet,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
42,Jaskaran,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
43,Jasdeep,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
44,Kamaljit,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
45,Kanwaljit,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
46,Lakhwinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
47,Lovepreet,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
48,Ravinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
49,Rupinder,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
50,Satnam,21_50_common,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
51,Sukhdeep,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
52,Sukhjit,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
53,Tajinder,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
54,Tarsem,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
55,Tejinder,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
56,Amanpreet,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
57,Amandeep,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
58,Amaninder,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
59,Gagandeep,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
60,Gurinder,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
61,Simerjit,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
62,Simranjit,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
63,Baldev,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
64,Gurdev,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
65,Gurdayal,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
66,Dalbir,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
67,Satbir,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
68,Ranbir,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
69,Jasbir,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
70,Kulbir,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
71,Harpal,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
72,Iqbal,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
73,Ajaib,51_100_normal,India Punjabi NW,male,Estimated India Punjabi NW male given-name pool for game use
