Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Puneeth,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
2,Darshan,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
3,Yash,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
4,Shivakumar,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
5,Shivarajkumar,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
6,Raghavendra,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
7,Raghu,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
8,Ramesh,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
9,Ravi,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
10,Rajkumar,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
11,Sudeep,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
12,Ganesh,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
13,Dhananjaya,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
14,Jagadish,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
15,Jagadeesh,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
16,Mahesh,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
17,Manjunath,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
18,Manjunatha,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
19,Mohan,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
20,Nagaraj,top_20_very_common,Kannada,male,Estimated Kannada male given-name pool for game use
21,Nagarjuna,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
22,Naveen,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
23,Nikhil,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
24,Prakash,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
25,Pradeep,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
26,Rajendra,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
27,Rajesh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
28,Rakesh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
29,Ravikumar,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
30,Ravindra,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
31,Santosh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
32,Satish,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
33,Sathish,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
34,Shankar,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
35,Shashank,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
36,Shivanna,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
37,Srinivas,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
38,Srinivasa,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
39,Suresh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
40,Umesh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
41,Venkatesh,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
42,Vijay,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
43,Vijaykumar,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
44,Vinay,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
45,Vinod,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
46,Vishal,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
47,Vivek,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
48,Abhishek,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
49,Aditya,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
50,Ajay,21_50_common,Kannada,male,Estimated Kannada male given-name pool for game use
