Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Suresh,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
2,Sunil,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
3,Anil,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
4,Ajith,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
5,Anoop,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
6,Anoop Kumar,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
7,Akhil,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
8,Aneesh,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
9,Arun,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
10,Arunkumar,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
11,Aravind,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
12,Arjun,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
13,Ashok,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
14,Aswin,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
15,Babu,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
16,Biju,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
17,Baiju,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
18,Binu,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
19,Deepak,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
20,Dileep,top_20_very_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
21,Dilip,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
22,Dinesh,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
23,Jayan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
24,Jayanth,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
25,Jithin,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
26,Jithesh,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
27,Jomon,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
28,Jose,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
29,Joseph,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
30,Joyal,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
31,Jubin,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
32,Kiran,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
33,Krishnan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
34,Madhu,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
35,Mahesh,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
36,Manoj,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
37,Manikandan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
38,Midhun,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
39,Mohan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
40,Murali,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
41,Nandan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
42,Nikhil,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
43,Nirmal,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
44,Pradeep,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
45,Prakash,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
46,Prem,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
47,Rajan,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
48,Rajeev,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
49,Rajesh,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
50,Rakesh,21_50_common,Malayalam,male,Estimated Malayalam male given-name pool for game use
51,Ranjith,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
52,Ratheesh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
53,Ravi,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
54,Riyas,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
55,Rohit,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
56,Sachin,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
57,Sajith,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
58,Sajeev,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
59,Santhosh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
60,Sandeep,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
61,Sanoj,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
62,Sarath,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
63,Satheesh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
64,Shaji,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
65,Shiju,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
66,Shine,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
67,Sibi,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
68,Sreejith,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
69,Sreekanth,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
70,Sreehari,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
71,Sreenath,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
72,Sreekumar,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
73,Subin,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
74,Subhash,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
75,Sudheesh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
76,Sudheer,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
77,Sujith,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
78,Suku,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
79,Sumesh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
80,Suneesh,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
81,Sureshkumar,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
82,Sushil,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
83,Tinu,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
84,Titto,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
85,Unnikrishnan,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
86,Vipin,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
87,Vineeth,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
88,Vinod,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
89,Vinu,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
90,Vishnu,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
91,Vivek,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
92,Abhilash,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
93,Abhijith,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
94,Afsal,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
95,Akshay,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
96,Amal,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
97,Anand,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
98,Ananth,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
99,Aravindan,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
100,Ashaq,51_100_normal,Malayalam,male,Estimated Malayalam male given-name pool for game use
101,Basheer,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
102,Faisal,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
103,Firoz,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
104,Gokul,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
105,Hareesh,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
106,Harikrishnan,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
107,Hari,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
108,Haridas,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
109,Jafar,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
110,Jaison,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
111,Jeevan,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
112,Jestin,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
113,Jinu,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
114,Jishnu,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
115,Jithu,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
116,Karthik,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
117,Kaushik,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
118,Lijo,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
119,Lijin,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
120,Mansoor,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
121,Naveen,101_plus_rare,Malayalam,male,Estimated Malayalam male given-name pool for game use
