Rank,Name,RarityLayer,Pool,Notes
1,Wei Jie,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
2,Wei Ming,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
3,Jia Wei,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
4,Jia Jun,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
5,Jun Jie,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
6,Jun Wei,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
7,Jia Hao,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
8,Jian Wei,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
9,Jian Hong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
10,Zi Han,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
11,Chee Keong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
12,Chee Meng,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
13,Chee Leong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
14,Boon Kiat,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
15,Boon Chye,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
16,Boon Huat,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
17,Kok Leong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
18,Kok Seng,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
19,Kok Wei,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
20,Kian Ann,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
21,Kian Seng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
22,Kian Huat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
23,Kian Meng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
24,Choon Kiat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
25,Choon Huat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
26,Seng Hock,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
27,Seng Kiat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
28,Soon Huat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
29,Soon Kiat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
30,Teck Huat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
31,Teck Meng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
32,Kah Wai,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
33,Kah Hoong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
34,Kah Meng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
35,Kah Yong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
36,Wai Kit,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
37,Wai Leong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
38,Wai Keong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
39,Tze Yong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
40,Tze Wei,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
41,Yong Wei,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
42,Yong Sheng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
43,Yong Jun,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
44,Yong Kiat,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
45,Yong Han,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
46,Yong Peng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
47,Han Wei,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
48,Hong Wei,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese male given-name pool
