Rank,Name,RarityLayer,Pool,Notes
1,Muhammad,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
2,Mohd,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
3,Mohamad,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
4,Ahmad,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
5,Syed,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
6,Amir,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
7,Aiman,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
8,Hakim,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
9,Akmal,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
10,Azlan,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
11,Azman,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
12,Azhar,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
13,Azri,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
14,Azrul,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
15,Azwan,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
16,Fikri,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
17,Firdaus,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
18,Faiz,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
19,Faizal,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
20,Faisal,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
21,Farid,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
22,Farhan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
23,Faris,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
24,Hafiz,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
25,Hakimi,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
26,Hamdan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
27,Harris,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
28,Hariz,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
29,Helmi,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
30,Hilmi,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
31,Hisyam,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
32,Irfan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
33,Iskandar,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
34,Izwan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
35,Jamal,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
36,Khairul,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
37,Khairil,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
38,Luqman,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
39,Mazlan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
40,Naim,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
41,Nazri,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
42,Nizam,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
43,Rafik,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
44,Rahim,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
45,Rahman,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
46,Razak,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
47,Rizal,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
48,Saiful,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
49,Shahril,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
50,Shahdan,21_50_common,Malaysia Malay,Expanded Malaysia Malay male given-name pool
51,Shahrul,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
52,Shahrom,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
53,Shahriman,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
54,Shukri,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
55,Syafiq,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
56,Syahmi,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
57,Syukri,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
58,Talib,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
59,Taufik,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
60,Wan Ahmad,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
61,Wan Mohd,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
62,Wan Azlan,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
63,Zaharuddin,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
64,Zaid,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
65,Zaidi,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
66,Zainal,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
67,Zaki,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
68,Zakaria,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
69,Zulfadli,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
70,Zulkifli,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
71,Zulhilmi,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
72,Zulkhairi,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
73,Zulhazmi,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
74,Zulkarnaen,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
75,Zulkipli,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
76,Adib,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
77,Adli,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
78,Afiq,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
79,Aiman Hakim,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
80,Aidil,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
81,Anuar,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
82,Ariff,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
83,Asri,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
84,Badrul,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
85,Baharuddin,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
86,Baharom,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
87,Bakhtiar,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
88,Bashah,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
89,Bukhari,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
90,Daud,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
91,Fadzil,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
92,Fadhil,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
93,Fadli,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
94,Faris Danial,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
95,Fuad,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
96,Hamzah,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
97,Hasnul,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
98,Haziq,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
99,Idham,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
100,Ikhwan,51_100_normal,Malaysia Malay,Expanded Malaysia Malay male given-name pool
101,Imran,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
102,Ismail,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
103,Jefri,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
104,Johari,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
105,Johan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
106,Kamal,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
107,Khairi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
108,Lokman,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
109,Mahathir,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
110,Mahmud,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
111,Malik,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
112,Marzuki,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
113,Mokhtar,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
114,Nazim,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
115,Nordin,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
116,Osman,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
117,Rahmat,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
118,Rosli,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
119,Sabri,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
120,Salleh,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
121,Samad,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
122,Sani,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
123,Sharifuddin,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
124,Suffian,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
125,Sufian,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
126,Sulaiman,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
127,Zamri,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
128,Zubir,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
129,Zulkarnain,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
130,Adham,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
131,Adnan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
132,Aizat,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
133,Aizuddin,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
134,Akif,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
135,Alif,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
136,Alif Hakim,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
137,Amzar,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
138,Anas,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
139,Arif,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
140,Asraf,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
141,Azzam,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
142,Badrul Hisham,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
143,Danial,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
144,Daniyal,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
145,Firdaus Hakim,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
146,Hakimie,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
147,Haziem,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
148,Izzat,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
149,Izzuddin,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
150,Khairul Anuar,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
151,Khairul Nizam,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
152,Khairul Azman,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
153,Luqman Hakim,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
154,Muaz,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
155,Muzammil,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
156,Nabil,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
157,Nazmi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
158,Qayyum,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
159,Ridzuan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
160,Ridzwan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
161,Rifqi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
162,Rizuan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
163,Safiq,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
164,Shahrin,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
165,Shahrizam,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
166,Shukor,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
167,Syazwan,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
168,Syed Amir,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
169,Syed Zulkifli,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
170,Tarmizi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
171,Taufiq,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
172,Uwais,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
173,Wan Hafiz,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
174,Wan Azmi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
175,Zafran,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
176,Zaim,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
177,Zulamir,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
178,Zulazmi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
179,Zulfaqar,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
180,Zulhelmi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
181,Zulqarnain,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
182,Zulshafiq,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
183,Amran,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
184,Faudzi,101_plus_rare,Malaysia Malay,Expanded Malaysia Malay male given-name pool
