Rank,Name,RarityLayer,Pool,Gender,Notes
1,Muhammad,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
2,Mohammad,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
3,Abdul,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
4,Abdur,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
5,Gul,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
6,Ali,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
7,Ahmad,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
8,Ahmed,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
9,Khan,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
10,Shah,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
11,Jan,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
12,Rahman,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
13,Rahim,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
14,Karim,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
15,Aziz,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
16,Hamid,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
17,Wali,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
18,Nasir,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
19,Zahir,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
20,Akbar,top_20_very_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
21,Bakht,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
22,Bakhtiar,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
23,Baryalai,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
24,Bashir,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
25,Daud,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
26,Dawood,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
27,Din,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
28,Fazal,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
29,Fazl,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
30,Ghafar,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
31,Ghafoor,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
32,Habib,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
33,Hafiz,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
34,Hamza,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
35,Haroon,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
36,Hayat,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
37,Hidayat,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
38,Hikmat,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
39,Ihsan,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
40,Ikram,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
41,Ilyas,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
42,Inam,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
43,Irfan,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
44,Ismail,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
45,Jamal,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
46,Javed,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
47,Jawad,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
48,Khalid,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
49,Khurshid,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
50,Latif,21_50_common,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
51,Mahmud,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
52,Mansoor,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
53,Masood,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
54,Matiullah,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
55,Naim,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
56,Naseem,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
57,Nawaz,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
58,Niaz,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
59,Noor,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
60,Qasim,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
61,Rafiq,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
62,Rashid,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
63,Riaz,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
64,Saeed,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
65,Sajjad,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
66,Saleem,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
67,Samiullah,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
68,Sardar,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
69,Shafiq,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
70,Shahbaz,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
71,Shahid,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
72,Sher,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
73,Sheraz,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
74,Sohail,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
75,Tariq,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
76,Usman,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
77,Wajid,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
78,Waris,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
79,Yaqoob,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
80,Yousaf,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
81,Yunus,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
82,Zubair,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
83,Zahid,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
84,Zaman,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
85,Aimal,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
86,Ajmal,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
87,Amanullah,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
88,Amir,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
89,Asad,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
90,Asfand,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
91,Asfandyar,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
92,Attaullah,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
93,Aurangzeb,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
94,Bilal,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
95,Dilawar,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
96,Farid,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
97,Fawad,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
98,Haneef,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
99,Imran,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
100,Inayat,51_100_normal,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
101,Iqbal,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
102,Jahangir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
103,Janan,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
104,Kifayat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
105,Maqsood,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
106,Munir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
107,Nadir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
108,Najeeb,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
109,Paiman,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
110,Pervaiz,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
111,Rohullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
112,Safiullah,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
113,Sami,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
114,Shakir,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
115,Shaukat,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
116,Siraj,101_plus_rare,Pakistan Pashtun,male,Estimated Pakistan Pashtun male given-name pool
