Rank,Name,RarityLayer,Pool,Gender,Notes
1,Muhammad,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
2,Mohammad,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
3,Abdul,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
4,Ali,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
5,Ahmad,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
6,Ahmed,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
7,Usman,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
8,Bilal,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
9,Ahsan,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
10,Awais,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
11,Imran,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
12,Irfan,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
13,Asif,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
14,Amir,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
15,Tariq,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
16,Javed,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
17,Shahid,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
18,Naveed,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
19,Rashid,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
20,Riaz,top_20_very_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
21,Arslan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
22,Fahad,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
23,Farhan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
24,Faisal,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
25,Hamza,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
26,Hassan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
27,Hussain,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
28,Kashif,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
29,Khalid,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
30,Mudassar,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
31,Muneeb,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
32,Noman,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
33,Rizwan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
34,Saad,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
35,Salman,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
36,Shahbaz,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
37,Shoaib,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
38,Umar,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
39,Waqas,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
40,Yasir,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
41,Yousaf,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
42,Zeeshan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
43,Adnan,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
44,Akram,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
45,Adeel,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
46,Aftab,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
47,Aqeel,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
48,Atif,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
49,Babar,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
50,Basharat,21_50_common,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
51,Danish,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
52,Farooq,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
53,Feroz,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
54,Ghulam,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
55,Haris,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
56,Junaid,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
57,Kamran,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
58,Mubashir,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
59,Mudassir,51_100_normal,Pakistan Punjabi,male,Estimated Pakistan Punjabi male given-name pool
