Rank,Name,RarityLayer,BucketSource,Country,Gender,Notes
1,Jose,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
2,Jorge,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
3,Hector,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
4,Luis,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
5,Gilberto,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
6,Carlos,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
7,Victor,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
8,Joseph,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
9,Juan,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
10,Miguel,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
11,Angel,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
12,Antonio,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
13,Ramon,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
14,Roberto,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
15,Julio,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
16,Rafael,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
17,Francisco,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
18,Luisangel,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
19,Manuel,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
20,Pedro,top_20_very_common,very_common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
21,Adrian,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
22,Alejandro,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
23,Sebastian,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
24,Dylan,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
25,Ian,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
26,Mateo,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
27,Lucas,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
28,Gabriel,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
29,Jayden,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
30,Jean,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
31,Diego,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
32,Fabian,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
33,Jacob,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
34,Adriel,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
35,Gael,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
36,Ethan,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
37,Nicolas,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
38,Noah,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
39,Thiago,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
40,Matias,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
41,Samuel,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
42,Ismael,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
43,Edwin,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
44,Christian,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
45,Joel,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
46,Daniel,21_50_common,common,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
47,Ricardo,21_50_common,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
48,Emmanuel,21_50_common,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
49,Xavier,21_50_common,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
50,Omar,21_50_common,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
51,Alexis,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
52,Bryan,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
53,Jonathan,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
54,Kevin,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
55,Javier,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
56,Edgar,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
57,Raul,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
58,Felix,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
59,Fernando,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
60,Jomar,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
61,Jovani,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
62,Christopher,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
63,Wilfredo,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
64,Gerardo,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
65,Armando,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
66,Elias,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
67,Andres,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
68,William,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
69,Angelito,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
70,Josue,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
71,Leonardo,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
72,Maximiliano,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
73,Ariel,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
74,Josiah,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
75,Liam,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
76,Alan,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
77,Dereck,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
78,Derek,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
79,Jaden,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
80,Aidan,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
81,Giancarlo,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
82,Jeremy,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
83,Julian,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
84,Marco,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
85,Joaquin,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
86,Cesar,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
87,Moises,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
88,Ruben,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
89,Saul,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
90,Yandel,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
91,Yadiel,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
92,Yamil,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
93,Yahir,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
94,Yosef,51_100_normal,normal,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
95,Abner,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
96,Adan,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
97,Adolfo,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
98,Agustin,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
99,Albert,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
100,Alberto,51_100_normal,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
101,Alec,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
102,Alex,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
103,Alexander,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
104,Alexandro,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
105,Alexei,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
106,Alonso,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
107,Amilcar,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
108,Anibal,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
109,Anthony,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
110,Aramis,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
111,Arnaldo,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
112,Asdrubal,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
113,Augusto,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
114,Axel,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
115,Benicio,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
116,Benito,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
117,Bernardo,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
118,Brandon,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
119,Braulio,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
120,Brian,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
121,Bruno,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
122,Caleb,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
123,Camilo,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
124,Carmelo,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
125,Casiano,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
126,Cayetano,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
127,Ceferino,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
128,Charlie,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
129,Cheo,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
130,Claudio,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
131,Clemente,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
132,Cornelio,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
133,Cristian,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
134,Cristobal,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
135,Damian,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
136,Dario,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
137,David,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
138,Denis,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
139,Dennis,101_plus_rare,rare,Puerto Rico,male,Estimated Puerto Rico male given-name ranking for game use
