Rank,Name,RarityLayer,Country,Gender,Notes
1,John,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
2,Peter,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
3,David,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
4,Michael,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
5,Richard,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
6,Joseph,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
7,James,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
8,William,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
9,Mark,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
10,Paul,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
11,Robert,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
12,Ioane,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
13,Tavita,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
14,Paulo,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
15,Iosefa,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
16,Iakopo,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
17,Filipe,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
18,Sione,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
19,Luka,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
20,Mikaele,top_20_very_common,Samoa,male,Estimated Samoa male given-name pool for game use
21,Pita,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
22,Toma,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
23,Toleafoa,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
24,Tupu,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
25,Afa,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
26,Afu,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
27,Lilo,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
28,Mika,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
29,Sami,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
30,Ieremia,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
31,Tanielu,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
32,Esekia,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
33,Ioelu,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
34,Taito,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
35,Tupua,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
36,Malaki,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
37,Noa,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
38,Leni,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
39,Junior,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
40,Andrew,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
41,Anthony,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
42,Benjamin,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
43,Caleb,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
44,Charles,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
45,Christopher,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
46,Daniel,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
47,Dominic,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
48,Edward,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
49,Elijah,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
50,Ethan,21_50_common,Samoa,male,Estimated Samoa male given-name pool for game use
51,Felix,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
52,Francis,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
53,Gabriel,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
54,George,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
55,Gideon,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
56,Harry,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
57,Henry,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
58,Isaac,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
59,Jacob,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
60,Jared,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
61,Jayden,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
62,Jeremiah,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
63,Joel,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
64,Jonathan,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
65,Jordan,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
66,Joshua,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
67,Josiah,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
68,Jude,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
69,Julian,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
70,Justin,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
71,Kai,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
72,Kevin,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
73,Lachlan,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
74,Lawrence,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
75,Leo,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
76,Levi,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
77,Louis,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
78,Lucas,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
79,Malietoa,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
80,Manu,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
81,Mareko,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
82,Matai,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
83,Mikaere,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
84,Nathan,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
85,Neil,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
86,Nicholas,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
87,Noah,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
88,Oliver,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
89,Oscar,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
90,Peni,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
91,Philip,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
92,Rex,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
93,Riley,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
94,Robin,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
95,Samuel,51_100_normal,Samoa,male,Estimated Samoa male given-name pool for game use
