Rank,Name,RarityLayer,Pool,Notes
1,Wei Ming,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
2,Jia Wei,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
3,Jun Jie,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
4,Jun Wei,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
5,Jian Wei,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
6,Zi Xuan,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
7,Zhi Hao,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
8,Hong Wei,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
9,Yong Wei,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
10,Jia Hao,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
11,Bryan,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
12,Darren,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
13,Desmond,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
14,Kelvin,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
15,Jason,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
16,Nicholas,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
17,Benjamin,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
18,Marcus,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
19,Terence,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
20,Daniel,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
21,Yong Jun,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
22,Wei Jie,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
23,Jin Hao,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
24,Zhen Wei,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
25,Sheng Hao,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
26,Kai Xiang,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
27,Jun Hao,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
28,Jia Jun,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
29,Zi Han,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
30,Xiang Wei,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
31,Marcus Lee,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
32,Brandon,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
33,Ethan,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
34,Leon,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
35,Adrian,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
36,Ryan,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
37,Daryl,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
38,Aaron,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
39,Jonathan,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
40,Samuel,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
41,Yi Xuan,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
42,Zhi Wei,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
43,Yong Sheng,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
44,Kai Wen,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
45,Jia Le,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
46,Zi Yang,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
47,Tian Wei,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
48,Wen Hao,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
49,Jin Xuan,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
50,Hong Jun,21_50_common,Singapore Chinese,Expanded Singapore Chinese male given-name pool
51,Chong Wei,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
52,Hao Ren,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
53,Kai Jie,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
54,Xing Yu,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
55,Zhen Jie,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
56,Wei Lun,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
57,Wen Jie,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
58,Han Wei,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
59,Boon Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
60,Boon Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
61,Kok Leong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
62,Kok Seng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
63,Kok Wei,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
64,Beng Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
65,Beng Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
66,Kiat Hwee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
67,Kian Ann,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
68,Kian Seng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
69,Kian Meng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
70,Choon Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
71,Choon Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
72,Seng Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
73,Seng Hock,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
74,Hock Leong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
75,Hock Seng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
76,Soon Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
77,Soon Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
78,Teck Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
79,Teck Meng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
80,Chee Keong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
81,Chee Meng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
82,Chee Leong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
83,Kah Wai,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
84,Kah Hoong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
85,Kah Meng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
86,Kah Yong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
87,Chin Wei,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
88,Chin Huat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
89,Han Yong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
90,Jin Yong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
91,Yong Kiat,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
92,Yong Han,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
93,Yong Peng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
94,Jun Yong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
95,Keng Soon,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
96,Keng Hwee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
97,Ming Yang,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
98,Ming Jie,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
99,Jian Hao,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
100,Wen Jun,51_100_normal,Singapore Chinese,Expanded Singapore Chinese male given-name pool
101,Wei Quan,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
102,Wai Kit,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
103,Wai Leong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
104,Wai Keong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
105,Tze Yong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
106,Tze Wei,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
107,Tze Han,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
108,Tze Kiat,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
109,Yu Xuan,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
110,Yu Heng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
111,Yue Han,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
112,Shun Jie,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
113,Shun Wei,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
114,Khai,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
115,Khai Wen,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
116,Hao Yu,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
117,Jia Xun,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
118,Zhi Xian,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
119,Chee Hong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
120,Boon Chye,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
121,Meng Kit,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
122,Kok Liang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
123,Kok Choon,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
124,Eng Huat,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
125,Eng Soon,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
126,Seng Huat,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
127,Loon,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
128,Jun Xian,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
129,Jun Yang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
130,Jun Ren,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
131,Jian Han,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
132,Jian Xun,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
133,Zi Jie,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
134,Zi Wen,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
135,Zi Heng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
136,Zhi Yang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
137,Zhi Ren,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
138,Sheng Jie,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
139,Sheng Wei,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
140,Han Jie,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
141,Hong Jie,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
142,Wei Han,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
143,Wei Xian,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
144,Wei Sheng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
145,Wen Xian,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
146,Wen Sheng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
147,Kai Ting,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
148,Kai Sheng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
149,Jin Wen,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
150,Yong Le,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
151,Yong Huat,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
152,Yong Leong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
153,Boon Leong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
154,Boon Hong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
155,Boon Seng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
156,Kok Beng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
157,Kok Hong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese male given-name pool
