Rank,Name,RarityLayer,Pool,Notes
1,Muhammad,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
2,Mohd,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
3,Mohamed,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
4,Ahmad,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
5,Amir,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
6,Aiman,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
7,Afiq,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
8,Akmal,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
9,Azman,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
10,Azmi,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
11,Faiz,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
12,Faizal,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
13,Faisal,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
14,Farhan,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
15,Faris,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
16,Firdaus,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
17,Fikri,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
18,Hakim,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
19,Hafiz,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
20,Hamdan,top_20_very_common,Singapore Malay,Expanded Singapore Malay male given-name pool
21,Haris,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
22,Hazim,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
23,Helmi,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
24,Hilmi,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
25,Hisyam,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
26,Irfan,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
27,Iskandar,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
28,Izwan,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
29,Khairul,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
30,Luqman,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
31,Naim,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
32,Nazri,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
33,Nizam,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
34,Rahim,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
35,Rahman,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
36,Rashid,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
37,Rizal,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
38,Saiful,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
39,Shahril,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
40,Shahdan,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
41,Shahrom,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
42,Shahrul,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
43,Shukri,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
44,Syafiq,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
45,Syahmi,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
46,Syukri,21_50_common,Singapore Malay,Expanded Singapore Malay male given-name pool
