Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Nimal,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
2,Sunil,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
3,Ranjith,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
4,Ranjan,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
5,Chandana,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
6,Ruwan,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
7,Ravindra,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
8,Ravi,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
9,Ajith,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
10,Anura,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
11,Lalith,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
12,Kamal,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
13,Dinesh,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
14,Nalin,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
15,Asanka,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
16,Chathura,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
17,Kasun,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
18,Nuwan,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
19,Sampath,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
20,Prasanna,top_20_very_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
21,Sanjeewa,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
22,Suresh,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
23,Sujith,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
24,Chaminda,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
25,Chandimal,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
26,Lakmal,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
27,Lahiru,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
28,Roshan,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
29,Tharanga,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
30,Thilina,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
31,Thushara,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
32,Duminda,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
33,Mahesh,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
34,Upul,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
35,Niroshan,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
36,Dilshan,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
37,Madhushanka,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
38,Sasanka,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
39,Harsha,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
40,Janaka,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
41,Kanchana,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
42,Ramesh,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
43,Pradeep,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
44,Priyantha,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
45,Saman,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
46,Sisira,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
47,Udaya,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
48,Asela,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
49,Ashan,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
50,Bandara,21_50_common,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
51,Chamara,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
52,Damith,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
53,Danushka,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
54,Dasun,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
55,Deepal,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
56,Dhammika,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
57,Dilan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
58,Eranga,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
59,Gayan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
60,Gihan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
61,Harindra,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
62,Hasitha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
63,Hemantha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
64,Heshan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
65,Indika,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
66,Ishara,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
67,Janith,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
68,Jayantha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
69,Kaushal,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
70,Lakshan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
71,Lasantha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
72,Madushan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
73,Manjula,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
74,Nalaka,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
75,Nimesh,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
76,Nishan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
77,Nishshanka,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
78,Palitha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
79,Pathum,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
80,Pavithra,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
81,Prabath,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
82,Pramod,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
83,Pubudu,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
84,Rasika,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
85,Rukshan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
86,Rushan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
87,Sachith,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
88,Sadeera,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
89,Sandun,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
90,Sarath,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
91,Sasindu,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
92,Sasitha,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
93,Shanaka,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
94,Shehan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
95,Shihan,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
96,Supun,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
97,Thaminda,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
98,Tharindu,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
99,Theekshana,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
100,Thisara,51_100_normal,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
101,Udara,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
102,Udesh,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
103,Vidura,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
104,Viraj,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
105,Yasas,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
106,Yohan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
107,Anjelo,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
108,Ariyarathne,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
109,Ashoka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
110,Athula,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
111,Buddhika,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
112,Charith,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
113,Chatura,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
114,Dhananjaya,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
115,Dinusha,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
116,Dulaj,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
117,Gamini,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
118,Gunasekara,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
119,Hirushan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
120,Imesh,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
121,Isuru,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
122,Jeevan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
123,Kalana,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
124,Kavinda,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
125,Kumara,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
126,Kusal,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
127,Lasith,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
128,Lohan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
129,Manoj,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
130,Mohan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
131,Nadeesha,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
132,Nadeera,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
133,Navin,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
134,Nuwanidu,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
135,Pramuka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
136,Ravishka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
137,Sahan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
138,Sajith,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
139,Sanka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
140,Shaminda,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
141,Shenal,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
142,Tharusha,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
143,Umanga,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
144,Vikum,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
145,Yasiru,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
146,Amila,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
147,Chinthaka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
148,Dineth,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
149,Eshan,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
150,Kelum,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
151,Madusanka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
152,Nirmal,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
153,Prabodh,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
154,Sachin,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
155,Saminda,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
156,Saranga,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
157,Shalinda,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
158,Thimira,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
159,Udith,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
160,Malinga,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
161,Ayesh,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
162,Charuka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
163,Chaturanga,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
164,Dinuka,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
165,Dulip,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
166,Heshantha,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
167,Nadeemal,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
168,Ravindu,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
169,Sajeewa,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
170,Sandakelum,101_plus_rare,Sinhalese,male,Estimated Sinhalese male given-name pool for game use
