Rank,Name,RarityLayer,Country,Gender,Notes
1,John,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
2,Peter,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
3,David,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
4,James,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
5,Michael,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
6,George,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
7,Francis,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
8,Robert,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
9,Charles,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
10,Daniel,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
11,Paul,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
12,Stephen,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
13,Richard,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
14,Joseph,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
15,Mark,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
16,Andrew,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
17,Ben,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
18,Christopher,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
19,Anthony,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
20,Junior,top_20_very_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
21,Luke,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
22,Simon,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
23,William,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
24,Thomas,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
25,Samuel,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
26,Timothy,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
27,Victor,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
28,Vincent,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
29,Harry,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
30,Henry,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
31,Jack,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
32,Jonathan,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
33,Joshua,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
34,Leo,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
35,Martin,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
36,Matthew,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
37,Nicholas,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
38,Oliver,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
39,Patrick,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
40,Philip,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
41,Roger,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
42,Steven,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
43,Tony,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
44,Walter,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
45,Aaron,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
46,Brian,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
47,Caleb,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
48,Chris,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
49,Dominic,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
50,Donald,21_50_common,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
51,Edward,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
52,Elijah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
53,Eric,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
54,Eugene,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
55,Felix,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
56,Frank,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
57,Gabriel,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
58,Geoffrey,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
59,Glen,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
60,Harold,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
61,Isaac,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
62,Isaiah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
63,Jacob,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
64,Jared,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
65,Joel,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
66,Jonah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
67,Jordan,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
68,Josiah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
69,Justin,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
70,Kenneth,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
71,Lawrence,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
72,Leonard,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
73,Levi,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
74,Louis,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
75,Malachi,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
76,Marcus,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
77,Moses,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
78,Nathan,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
79,Nehemiah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
80,Noah,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
81,Oscar,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
82,Raymond,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
83,Ruben,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
84,Saul,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
85,Scott,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
86,Sebastian,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
87,Silas,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
88,Solomon,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
89,Stanley,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
90,Terry,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
91,Theo,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
92,Tim,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
93,Titus,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
94,Tom,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
95,Tommy,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
96,Warren,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
97,Wesley,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
98,Wilfred,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
99,Zachary,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
100,Alick,51_100_normal,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
101,Billy,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
102,Bosa,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
103,Haga,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
104,Honiara,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
105,Hou,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
106,Iro,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
107,Leua,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
108,Mae,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
109,Ramo,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
110,Roviana,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
111,Sade,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
112,Sale,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
113,Samy,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
114,Sau,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
115,Sikua,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
116,Taro,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
117,Tome,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
118,Wale,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
119,Wate,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
120,Arosi,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
121,Anuta,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
122,Gela,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
123,Hoava,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
124,Marovo,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
125,Oroha,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
126,Varisi,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
127,Birao,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
128,Asubuo,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
129,Amba,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
130,Bani,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
131,Boe,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
132,Kolo,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
133,Nori,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
134,Tahi,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
135,Vavine,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
136,Rini,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
137,Afa,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
138,Joses,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
139,Moffat,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
140,Tavake,101_plus_rare,Solomon Islands,male,Estimated Solomon Islands male given-name pool for game use
