Rank,Name,RarityLayer,CountryOrPool,Gender,Notes
1,Venkatesh,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
2,Srinivas,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
3,Srinivasa,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
4,Srinivasulu,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
5,Venkata,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
6,Venkateswara,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
7,Venkateswarlu,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
8,Venkatachalam,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
9,Venkatesan,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
10,Nagarjuna,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
11,Nagaraj,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
12,Nagendra,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
13,Nagesh,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
14,Nageswara Rao,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
15,Narasimha,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
16,Narasimhulu,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
17,Narayana,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
18,Narayana Rao,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
19,Rama Rao,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
20,Ramakrishna,top_20_very_common,Telugu,male,Estimated Telugu male given-name pool for game use
21,Ramakrishnan,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
22,Ramana,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
23,Ramesh,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
24,Ravi,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
25,Ravindra,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
26,Ravikiran,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
27,Raghava,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
28,Raghavendra,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
29,Rajasekhar,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
30,Rajendra,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
31,Rajesh,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
32,Raju,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
33,Ramakant,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
34,Ramakoti,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
35,Siva,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
36,Sivakumar,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
37,Sivaprasad,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
38,Sivaram,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
39,Sivaramakrishna,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
40,Satyam,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
41,Satyanarayana,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
42,Satyendra,21_50_common,Telugu,male,Estimated Telugu male given-name pool for game use
