Rank,Name,RarityLayer,Country,Gender,Notes
1,Sione,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
2,Tevita,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
3,Paula,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
4,Viliami,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
5,Samiuela,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
6,Pita,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
7,Siosiua,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
8,Moses,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
9,Anitelu,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
10,Mikaele,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
11,Sefa,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
12,Semisi,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
13,Sitiveni,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
14,Taniela,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
15,Uaine,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
16,Kalafi,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
17,Mafileo,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
18,Saimone,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
19,Isileli,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
20,Isikeli,top_20_very_common,Tonga,male,Estimated Tonga male given-name pool for game use
21,Ika,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
22,Inoke,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
23,Ipeni,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
24,Latu,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
25,Mafi,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
26,Finau,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
27,Havea,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
28,Manu,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
29,Moala,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
30,Palu,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
31,Taufa,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
32,Tupou,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
33,Vea,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
34,Fifita,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
35,Aisea,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
36,Aisake,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
37,Alipate,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
38,Anau,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
39,Amanaki,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
40,Atiola,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
41,Filipe,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
42,Fili,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
43,Feleti,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
44,Halaapiapi,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
45,Hemi,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
46,Ilai,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
47,Ioane,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
48,Iosefo,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
49,Kelepi,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
50,Leka,21_50_common,Tonga,male,Estimated Tonga male given-name pool for game use
51,Lopeti,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
52,Maka,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
53,Malu,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
54,Misiona,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
55,Nasoni,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
56,Ngalu,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
57,Peni,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
58,Penisimani,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
59,Sifa,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
60,Sikalu,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
61,Silivenusi,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
62,Sionefele,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
63,Taukei,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
64,Tokolahi,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
65,Vunipola,51_100_normal,Tonga,male,Estimated Tonga male given-name pool for game use
