Rank,Name,RarityLayer,Country,Gender,Notes
1,John,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
2,David,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
3,Robert,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
4,Peter,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
5,Andrew,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
6,Michael,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
7,George,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
8,James,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
9,Mark,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
10,Richard,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
11,Paul,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
12,Willie,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
13,Joseph,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
14,Stephen,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
15,Simon,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
16,Walter,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
17,Daniel,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
18,Jack,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
19,Tony,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
20,Christopher,top_20_very_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
21,Thomas,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
22,Philip,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
23,Albert,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
24,Moses,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
25,William,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
26,Samuel,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
27,Jonathan,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
28,Joshua,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
29,Nicholas,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
30,Anthony,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
31,Brian,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
32,Donald,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
33,Edward,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
34,Francis,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
35,Harry,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
36,Henry,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
37,Jeffrey,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
38,Leonard,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
39,Patrick,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
40,Roger,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
41,Steven,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
42,Timothy,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
43,Victor,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
44,Vincent,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
45,Baldwin,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
46,Bob,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
47,Charlot,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
48,Iolu,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
49,Ishmael,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
50,Jotham,21_50_common,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
51,Kalkot,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
52,Moana,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
53,Nikenike,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
54,Obed,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
55,Pakoa,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
56,Ralph,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
57,Sato,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
58,Sela,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
59,Tallis,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
60,Tom,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
61,Aron,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
62,Ben,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
63,Bruno,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
64,Caleb,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
65,Charles,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
66,Chris,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
67,Clement,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
68,Davidson,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
69,Dany,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
70,Edgar,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
71,Elijah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
72,Emmanuel,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
73,Eric,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
74,Ezekiel,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
75,Felix,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
76,Frank,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
77,Gabriel,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
78,Gideon,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
79,Glen,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
80,Harris,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
81,Hosea,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
82,Isaac,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
83,Isaiah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
84,Jacob,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
85,Joel,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
86,Jonah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
87,Josiah,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
88,Julius,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
89,Justin,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
90,Kenneth,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
91,Leo,51_100_normal,Vanuatu,male,Estimated Vanuatu male given-name pool for game use
