Name	Estimated Rank	Country
Connor	1	Northern ireland
Patrick	2	Northern ireland
Stuart	3	Northern ireland
Graham	4	Northern ireland
Grant	5	Northern ireland
Bruce	6	Northern ireland
Sean	7	Northern ireland
Kieran	8	Northern ireland
Shaun	9	Northern ireland
Conor	10	Northern ireland
James	11	Northern ireland
Noah	12	Northern ireland
Jack	13	Northern ireland
Charlie	14	Northern ireland
Jacob	15	Northern ireland
Theo	16	Northern ireland
Oliver	17	Northern ireland
Harry	18	Northern ireland
Thomas	19	Northern ireland
Leo	20	Northern ireland
Oisin	21	Northern ireland
Cillian	22	Northern ireland
Owen	23	Northern ireland
Dylan	24	Northern ireland
David	25	Northern ireland
Paul	26	Northern ireland
Chris	27	Northern ireland
Mark	28	Northern ireland
John	29	Northern ireland
Tom	30	Northern ireland
Andrew	31	Northern ireland
Michael	32	Northern ireland
Ben	33	Northern ireland
Sam	34	Northern ireland
Alex	35	Northern ireland
Richard	36	Northern ireland
Adam	37	Northern ireland
Daniel	38	Northern ireland
Matt	39	Northern ireland
Reece	40	Northern ireland
Andy	41	Northern ireland
Simon	42	Northern ireland
Steve	43	Northern ireland
Niall	44	Northern ireland
Matthew	45	Northern ireland
Ryan	46	Northern ireland
Dan	47	Northern ireland
Ian	48	Northern ireland
George	49	Northern ireland
Oscar	50	Northern ireland
Archie	51	Northern ireland
Luca	52	Northern ireland
Riley	53	Northern ireland
Alfie	54	Northern ireland
Joshua	55	Northern ireland
Finn	56	Northern ireland
Ethan	57	Northern ireland
Henry	58	Northern ireland
Alexander	59	Northern ireland
Jamie	60	Northern ireland
Mason	61	Northern ireland
Declan	62	Northern ireland
Peter	63	Northern ireland
Stephen	64	Northern ireland
Joe	65	Northern ireland
Lee	66	Northern ireland
Nick	67	Northern ireland
Craig	68	Northern ireland
Luke	69	Northern ireland
Scott	70	Northern ireland
Mike	71	Northern ireland
Dave	72	Northern ireland
Rob	73	Northern ireland
Liam	74	Northern ireland
Martin	75	Northern ireland
Josh	76	Northern ireland
Robert	77	Northern ireland
Neil	78	Northern ireland
Gary	79	Northern ireland
Steven	80	Northern ireland
Kevin	81	Northern ireland
Ciaran	82	Northern ireland
Jonathan	83	Northern ireland
Darren	84	Northern ireland
Jordan	85	Northern ireland
Alan	86	Northern ireland
Tim	87	Northern ireland
Lewis	88	Northern ireland
Jason	89	Northern ireland
Phil	90	Northern ireland
Tony	91	Northern ireland
