Rank,Surname,RarityLayer,Pool,Notes
1,Banerjee,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
2,Bandyopadhyay,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
3,Mukherjee,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
4,Mukhopadhyay,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
5,Chatterjee,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
6,Chattopadhyay,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
7,Bhattacharya,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
8,Bose,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
9,Basu,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
10,Dutta,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
11,Dutt,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
12,Mitra,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
13,Ghosh,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
14,Ghoshal,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
15,Bhaduri,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
16,Bhattacharjee,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
17,Bhattacharjya,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
18,Bagchi,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
19,Majumdar,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
20,Mazumdar,top_20_very_common,Bengali,Conservative high-confidence Bengali surname pool
21,Sarkar,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
22,Biswas,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
23,Roy,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
24,Ray,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
25,Nandi,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
26,Nandy,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
27,Sanyal,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
28,Sengupta,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
29,Lahiri,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
30,Ganguly,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
31,Gangopadhyay,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
32,Deb,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
33,De,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
34,Dey,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
35,Sinha,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
36,Sikdar,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
37,Paul,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
38,Pal,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
39,Mondal,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
40,Mandal,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
41,Malakar,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
42,Gayen,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
43,Ghatak,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
44,Goswami,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
45,Chowdhury,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
46,Chaudhuri,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
47,Chaudhury,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
48,Barua,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
49,Bera,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
50,Baral,21_50_common,Bengali,Conservative high-confidence Bengali surname pool
51,Bhowmik,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
52,Bhowmick,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
53,Bhadra,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
54,Barman,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
55,Bishwas,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
56,Adhikari,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
57,Bauri,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
58,Boral,51_100_normal,Bengali,Conservative high-confidence Bengali surname pool
