Rank,Surname,RarityLayer,Country,Notes
1,Sok,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
2,Chan,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
3,Chea,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
4,San,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
5,Kong,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
6,Sam,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
7,Heng,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
8,Seng,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
9,Li,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
10,Phan,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
11,Yan,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
12,Keo,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
13,Moau,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
14,Chin,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
15,Sat,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
16,Kim,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
17,Lim,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
18,Chann,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
19,Mao,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
20,Chhea,top_20_very_common,Cambodia,High-confidence Cambodia surname pool for game use
21,Khin,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
22,Nimol,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
23,Taing,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
24,Khiev,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
25,Thao,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
26,Nhem,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
27,Pheng,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
28,Touch,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
29,Khun,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
30,Ly,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
31,Ouch,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
32,Noun,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
33,Men,21_50_common,Cambodia,High-confidence Cambodia surname pool for game use
