Rank,Surname,RarityLayer,Pool,Notes
1,Waqa,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
2,Rabuka,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
3,Tuisova,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
4,Batiko,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
5,Nadolo,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
6,Nakarawa,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
7,Tuisue,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
8,Sotutu,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
9,Radradra,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
10,Nacewa,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
11,Nisbet,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
12,Volavola,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
13,Rokoduguni,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
14,Botia,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
15,Nasilasila,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
16,Tawake,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
17,Tagicakibau,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
18,Vunibaka,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
19,Derenalagi,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
20,Vota,top_20_very_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
21,Nabuliwa,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
22,Rokobuli,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
23,Matanavou,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
24,Maqala,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
25,Tikoduadua,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
26,Matanisiga,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
27,Nabose,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
28,Ravouvou,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
29,Duguivalu,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
30,Nacagilevu,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
31,Wainiqolo,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
32,Naividi,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
33,Rasolo,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
34,Qera,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
35,Tikoisuva,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
36,Seruvakula,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
37,Naitasiri,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
38,Lalabalavu,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
39,Namatakula,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
40,Nasoqeqe,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
41,Mataele,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
42,Tawakekoro,21_50_common,Fiji Indigenous,Expanded Fiji Indigenous surname pool
