Rank,Surname,RarityLayer,Pool,Notes
1,Kumar,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
2,Prasad,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
3,Chand,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
4,Singh,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
5,Lal,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
6,Sharma,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
7,Narayan,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
8,Khan,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
9,Ali,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
10,Ram,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
11,Naidu,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
12,Chandra,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
13,Nand,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
14,Deo,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
15,Reddy,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
16,Prakash,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
17,Kumaran,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
18,Sami,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
19,Raj,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
20,Rao,top_20_very_common,Fiji Indian,Expanded Fiji Indian surname pool
21,Pillay,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
22,Naicker,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
23,Goundar,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
24,Karan,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
25,Aneja,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
26,Amin,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
27,Anand,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
28,Arjun,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
29,Arya,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
30,Ashraf,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
31,Azad,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
32,Bachan,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
33,Badal,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
34,Bahar,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
35,Bala,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
36,Balgobin,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
37,Bali,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
38,Bansal,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
39,Bashir,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
40,Basu,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
41,Bax,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
42,Bedi,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
43,Bhagat,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
44,Bhagwan,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
45,Bhatti,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
46,Bhojwani,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
47,Bissoon,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
48,Boodram,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
49,Chowdhury,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
50,Chaudhry,21_50_common,Fiji Indian,Expanded Fiji Indian surname pool
51,Chetty,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
52,Datt,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
53,Dayal,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
54,Deen,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
55,Devi,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
56,Dhaliwal,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
57,Dubey,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
58,Dutt,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
59,Farooq,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
60,Govind,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
61,Hassan,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
62,Hussein,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
63,Hussain,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
64,Ibrahim,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
65,Iqbal,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
66,Jaleel,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
67,Javed,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
68,Jha,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
69,Joshi,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
70,Kalim,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
71,Kamal,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
72,Kassim,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
73,Khanam,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
74,Kishore,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
75,Krishna,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
76,Lata,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
77,Mahabir,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
78,Mahadeo,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
79,Mahendra,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
80,Maharaj,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
81,Maher,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
82,Mala,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
83,Mishra,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
84,Mohan,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
85,Moosa,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
86,Moti,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
87,Munshi,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
88,Nair,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
89,Naqvi,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
90,Narayanswamy,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
91,Nath,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
92,Nazir,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
93,Nisha,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
94,Nizam,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
95,Noor,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
96,Padarath,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
97,Pal,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
98,Panday,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
99,Pandey,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
100,Parsad,51_100_normal,Fiji Indian,Expanded Fiji Indian surname pool
101,Persad,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
102,Pratap,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
103,Qureshi,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
104,Rahman,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
105,Rajkumar,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
106,Raju,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
107,Ramdin,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
108,Ramjattan,101_plus_rare,Fiji Indian,Expanded Fiji Indian surname pool
