Rank,Surname,RarityLayer,Pool,Notes
1,Yadav,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
2,Singh,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
3,Kumar,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
4,Sharma,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
5,Mishra,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
6,Tiwari,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
7,Tripathi,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
8,Dwivedi,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
9,Chaturvedi,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
10,Pandey,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
11,Pande,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
12,Dubey,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
13,Dube,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
14,Shukla,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
15,Jha,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
16,Thakur,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
17,Chauhan,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
18,Rathore,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
19,Rajput,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
20,Verma,top_20_very_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
21,Varma,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
22,Gupta,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
23,Agarwal,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
24,Agrawal,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
25,Srivastava,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
26,Saxena,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
27,Nigam,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
28,Mathur,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
29,Bajpai,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
30,Bajpayee,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
31,Pathak,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
32,Ojha,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
33,Joshi,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
34,Trivedi,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
35,Chaudhary,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
36,Chaudhuri,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
37,Pal,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
38,Maurya,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
39,Kushwaha,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
40,Kumari,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
41,Prasad,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
42,Pratap,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
43,Sinha,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
44,Lal,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
45,Bhardwaj,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
46,Bharadwaj,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
47,Tyagi,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
48,Tomar,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
49,Rana,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
50,Rawat,21_50_common,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
51,Raut,51_100_normal,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
52,Sengar,51_100_normal,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
53,Parihar,51_100_normal,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
54,Baghel,51_100_normal,India N Gangetic,Conservative high-confidence India N Gangetic surname pool
