Rank,Surname,RarityLayer,Pool,Notes
1,Singh,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
2,Kaur,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
3,Gill,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
4,Sidhu,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
5,Sandhu,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
6,Brar,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
7,Dhillon,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
8,Grewal,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
9,Bains,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
10,Bhullar,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
11,Aulakh,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
12,Toor,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
13,Mann,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
14,Sodhi,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
15,Bedi,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
16,Bhatti,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
17,Bhatia,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
18,Arora,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
19,Chawla,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
20,Chopra,top_20_very_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
21,Malhotra,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
22,Kapoor,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
23,Khanna,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
24,Anand,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
25,Bajwa,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
26,Bajaj,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
27,Bal,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
28,Bali,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
29,Bassi,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
30,Bawa,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
31,Bhangu,21_50_common,India Punjabi NW,Conservative high-confidence India Punjabi NW surname pool
