Rank,Surname,RarityLayer,Pool,Notes
1,Hegde,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
2,Shetty,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
3,Murthy,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
4,Patil,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
5,Gowda,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
6,Gauda,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
7,Rao,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
8,Reddy,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
9,Naik,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
10,Nayak,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
11,Bhat,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
12,Bhatt,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
13,Bhatta,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
14,Acharya,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
15,Adiga,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
16,Aithal,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
17,Alva,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
18,Amin,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
19,Appaiah,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
20,Aradhya,top_20_very_common,Kannada,Conservative high-confidence Kannada surname pool
21,Badiger,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
22,Ballal,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
23,Bangera,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
24,Belliappa,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
25,Bhandary,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
26,Bhatkal,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
27,Bhojanna,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
28,Bilgi,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
29,Boloor,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
30,Chandavarkar,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
31,Channappa,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
32,Chougule,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
33,D'Souza,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
34,Dharwadkar,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
35,Dixit,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
36,Doddanna,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
37,Gadagkar,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
38,Gadgil,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
39,Galagali,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
40,Ganiga,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
41,Gokhale,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
42,Gowdru,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
43,Gubbi,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
44,Gundappa,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
45,Hadimani,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
46,Halli,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
47,Halappa,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
48,Harikant,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
49,Hebbar,21_50_common,Kannada,Conservative high-confidence Kannada surname pool
