Rank,Surname,RarityLayer,Pool,Notes
1,Nair,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
2,Menon,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
3,Pillai,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
4,Pillay,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
5,Kurup,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
6,Panicker,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
7,Panikkar,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
8,Nambiar,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
9,Namboodiri,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
10,Nambudiri,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
11,Bhattathiri,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
12,Potti,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
13,Moothathu,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
14,Elayath,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
15,Embrandiri,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
16,Warrier,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
17,Variyar,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
18,Marar,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
19,Valiyathan,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
20,Valiathan,top_20_very_common,Malayalam,Conservative high-confidence Malayalam surname pool
21,Unni,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
22,Unnikrishnan,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
23,Varadan,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
24,Varghese,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
25,Varkey,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
26,Iype,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
27,Kurian,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
28,Koshy,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
29,Chacko,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
30,Oommen,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
31,Mathai,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
32,Cherian,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
33,Scaria,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
34,Tharakan,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
35,Pallath,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
36,Palakkal,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
37,Parambil,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
38,Edathil,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
39,Kuriakose,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
40,Cheeran,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
41,Moothedan,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
42,Vadakkedath,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
43,Vallikkappen,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
44,Mukkadan,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
45,Kunnumpurath,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
46,Kallivayalil,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
47,Kallarakal,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
48,Mulamoottil,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
49,Punnakkal,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
50,Pulikkottil,21_50_common,Malayalam,Conservative high-confidence Malayalam surname pool
51,Puthenpurackal,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
52,Nedumparambil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
53,Perumpillil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
54,Vadassery,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
55,Panamthottathil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
56,Kizhakkekara,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
57,Kizhakkeveettil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
58,Thachil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
59,Thandan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
60,Thottan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
61,Sukumaran,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
62,Sachidanandan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
63,Vinu,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
64,Vithayathil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
65,Moopan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
66,Koya,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
67,Channar,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
68,Achari,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
69,Achan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
70,Adiga,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
71,Akkitham,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
72,Alummoottil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
73,Ambadi,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
74,Ambalathunkal,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
75,Appukuttan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
76,Arackal,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
77,Asan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
78,Asari,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
79,Balan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
80,Bhasi,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
81,Bhaskaran,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
82,Chekavar,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
83,Chembakassery,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
84,Cherukunnath,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
85,Chirayath,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
86,Chittoor,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
87,Damodaran,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
88,Devassy,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
89,Erali,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
90,Ezhuthachan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
91,Gangadharan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
92,Gopalakrishnan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
93,Govindan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
94,Haridas,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
95,Illath,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
96,Kakkanadan,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
97,Kalathil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
98,Kallada,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
99,Kallumkal,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
100,Kandathil,51_100_normal,Malayalam,Conservative high-confidence Malayalam surname pool
101,Karunakaran,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
102,Karuvattu,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
103,Kattukaran,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
104,Kizhakkethil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
105,Kizhakkumkara,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
106,Konnath,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
107,Koratty,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
108,Kottarathil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
109,Kovoor,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
110,Krishnankutty,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
111,Madhavan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
112,Mangalassery,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
113,Mankombu,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
114,Mannath,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
115,Mavelikara,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
116,Menachery,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
117,Mukkamala,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
118,Narayanan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
119,Nedungadi,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
120,Nedumpally,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
121,Nellikkattil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
122,Nilambur,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
123,Ninan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
124,Njaralakatt,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
125,Odayam,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
126,Olagath,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
127,Padinjareveettil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
128,Padmanabhan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
129,Pallippadan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
130,Panangadan,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
131,Parameswaran,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
132,Parayil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
133,Parur,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
134,Pattathil,101_plus_rare,Malayalam,Conservative high-confidence Malayalam surname pool
