Rank,Surname,RarityLayer,Pool,Notes
1,Tan,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
2,Lim,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
3,Lee,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
4,Wong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
5,Ng,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
6,Chong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
7,Chan,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
8,Teoh,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
9,Ong,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
10,Goh,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
11,Khoo,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
12,Yap,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
13,Lau,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
14,Liew,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
15,Lai,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
16,Low,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
17,Chew,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
18,Yeo,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
19,Tay,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
20,Chua,top_20_very_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
21,Koh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
22,Foo,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
23,Ho,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
24,Toh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
25,Phua,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
26,Poh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
27,Soh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
28,Leong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
29,Seah,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
30,Yong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
31,Yeoh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
32,Khor,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
33,Khong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
34,Kuek,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
35,Pang,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
36,Ooi,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
37,Ting,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
38,Beh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
39,Tong,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
40,Teh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
41,Heng,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
42,Kee,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
43,Neo,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
44,Wee,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
45,Peh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
46,Ang,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
47,Sia,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
48,Mak,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
49,Loke,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
50,Loh,21_50_common,Malaysia Chinese,Expanded Malaysia Chinese surname pool
51,Chin,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
52,Kua,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
53,Kwan,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
54,Cheong,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
55,Bong,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
56,Boo,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
57,Poon,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
58,Au,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
59,Gan,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
60,Yip,51_100_normal,Malaysia Chinese,Expanded Malaysia Chinese surname pool
