Rank,Surname,RarityLayer,Pool,Notes
1,Wan,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
2,Raja,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
3,Nik,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
4,Megat,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
5,Che,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
6,Putra,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
7,Puteri,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
8,Syed,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
9,Sharifah,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
10,Tengku,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
11,Engku,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
12,Ungku,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
13,Iskandar,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
14,Ismail,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
15,Abdullah,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
16,Ahmad,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
17,Rahman,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
18,Razak,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
19,Aziz,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
20,Hassan,top_20_very_common,Malaysia Malay,Expanded Malaysia Malay surname pool
21,Hussin,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
22,Harun,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
23,Ibrahim,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
24,Idris,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
25,Jamaluddin,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
26,Kamaruddin,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
27,Khalid,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
28,Mahmud,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
29,Mansor,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
30,Mokhtar,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
31,Nasir,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
32,Nordin,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
33,Noor,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
34,Osman,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
35,Ramli,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
36,Razali,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
37,Salleh,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
38,Sulaiman,21_50_common,Malaysia Malay,Expanded Malaysia Malay surname pool
