Rank,Surname,RarityLayer,Country,Notes
1,Dubois,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
2,Courtot,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
3,Thomas,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
4,Wamytan,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
5,Weiss,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
6,Kabar,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
7,Martin,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
8,Fabre,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
9,Launay,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
10,Delrieu,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
11,Girard,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
12,Benebig,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
13,Coulon,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
14,David,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
15,Bui,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
16,Marlier,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
17,Waheo,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
18,Martinez,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
19,Gastaldi,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
20,Rolland,top_20_very_common,New Caledonia,High-confidence New Caledonia surname pool for game use
21,Devillers,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
22,Robelin,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
23,Chevalier,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
24,Deplanque,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
25,Vincent,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
26,Herlein,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
27,Boyer,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
28,Rousseau,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
29,Boissery,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
30,Bon,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
31,Song,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
32,Karembeu,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
33,Tjibaou,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
34,Naisseline,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
35,Nidoish,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
36,Pidjot,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
37,Wetta,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
38,Zimako,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
39,Loueckhote,21_50_common,New Caledonia,High-confidence New Caledonia surname pool for game use
