Rank,Surname,RarityLayer,Pool,Notes
1,Afridi,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
2,Akakhel,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
3,Alikhel,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
4,Babai,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
5,Bangash,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
6,Banoori,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
7,Banuchi,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
8,Barozai,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
9,Bazai,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
10,Bettani,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
11,Changezi,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
12,Dawar,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
13,Dawi,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
14,Dirani,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
15,Durrani,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
16,Fani,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
17,Gandapur,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
18,Ghilzai,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
19,Hotak,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
20,Jadoon,top_20_very_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
21,Jaji,21_50_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
22,Jalalzai,21_50_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
23,Kakar,21_50_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
24,Kakazai,21_50_common,Pakistan Pashtun,Conservative high-confidence Pakistan Pashtun surname pool
