Rank,Surname,RarityLayer,Pool,Notes
1,Rana,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
2,Malik,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
3,Chaudhry,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
4,Chaudhary,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
5,Bhatti,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
6,Butt,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
7,Warraich,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
8,Awan,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
9,Cheema,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
10,Tiwana,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
11,Randhawa,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
12,Bajwa,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
13,Janjua,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
14,Sial,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
15,Aulakh,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
16,Khokhar,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
17,Dogar,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
18,Tarar,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
19,Arain,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
20,Rajput,top_20_very_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
21,Jat,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
22,Gondal,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
23,Bukhari,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
24,Shah,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
25,Syed,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
26,Gill,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
27,Sandhu,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
28,Brar,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
29,Dhillon,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
30,Saini,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
31,Pannu,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
32,Sangha,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
33,Maan,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
34,Virk,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
35,Chahal,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
36,Minhas,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
37,Bhinder,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
38,Kamboh,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
39,Boparai,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
40,Mahar,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
41,Mughal,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
42,Mirza,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
43,Qureshi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
44,Abbasi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
45,Ansari,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
46,Farooqi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
47,Hashmi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
48,Siddiqui,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
49,Rizvi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
50,Naqvi,21_50_common,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
51,Gilani,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
52,Jilani,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
53,Lodhi,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
54,Khokar,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
55,Kharal,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
56,Gakhar,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
57,Gujar,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
58,Noon,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
59,Ranjha,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
60,Heer,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
61,Makhdoom,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
62,Mian,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
63,Khosa,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
64,Wattu,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
65,Lali,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
66,Tarrar,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
67,Kahlon,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
68,Mangat,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
69,Niazi,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
70,Sahni,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
71,Khurana,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
72,Khanna,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
73,Anand,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
74,Arora,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
75,Bhatia,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
76,Kapoor,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
77,Malhotra,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
78,Chopra,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
79,Duggal,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
80,Juneja,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
81,Lamba,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
82,Luthra,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
83,Madan,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
84,Mahendru,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
85,Makan,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
86,Manchanda,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
87,Marwaha,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
88,Mongia,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
89,Munjal,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
90,Nagpal,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
91,Narang,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
92,Pahwa,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
93,Puri,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
94,Sachdeva,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
95,Sarin,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
96,Sethi,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
97,Sibal,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
98,Talwar,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
99,Tandon,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
100,Tuli,51_100_normal,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
101,Uppal,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
102,Walia,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
103,Wadhwa,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
104,Vohra,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
105,Ahuja,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
106,Bajaj,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
107,Bedi,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
108,Bindra,101_plus_rare,Pakistan Punjabi,Conservative high-confidence Pakistan Punjabi surname pool
