Rank,Surname,RarityLayer,Pool,Notes
1,Soomro,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
2,Talpur,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
3,Memon,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
4,Khuhro,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
5,Bhutto,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
6,Jatoi,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
7,Panhwar,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
8,Laghari,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
9,Leghari,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
10,Abbasi,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
11,Khoso,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
12,Junejo,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
13,Khaskheli,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
14,Mahesar,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
15,Mahar,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
16,Brohi,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
17,Chandio,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
18,Lanjar,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
19,Magsi,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
20,Jakhrani,top_20_very_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
21,Mirani,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
22,Siyal,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
23,Shar,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
24,Shaikh,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
25,Qureshi,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
26,Siddiqui,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
27,Ansari,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
28,Mughal,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
29,Mirza,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
30,Arain,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
31,Baloch,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
32,Khanzada,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
33,Pathan,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
34,Mastoi,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
35,Narejo,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
36,Nizamani,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
37,Rind,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
38,Sahito,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
39,Samo,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
40,Sangi,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
41,Shoro,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
42,Soomra,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
43,Wassan,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
44,Solangi,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
45,Kakepoto,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
46,Korejo,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
47,Mareejo,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
48,Menghwar,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
49,Nuhani,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
50,Seelro,21_50_common,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
51,Unar,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
52,Wadehra,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
53,Wagan,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
54,Wahla,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
55,Abro,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
56,Agro,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
57,Alyani,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
58,Arisar,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
59,Asani,51_100_normal,Pakistan Sindhi,Conservative high-confidence Pakistan Sindhi surname pool
