Rank,Surname,RarityLayer,Country,Notes
1,Sanchez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
2,Rivera,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
3,Diaz,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
4,Rodriguez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
5,Narvaez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
6,Burgos,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
7,Colon,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
8,Vazquez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
9,Ramos,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
10,Ortiz,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
11,Morales,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
12,Betancourt,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
13,Cruz,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
14,Santiago,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
15,Reyes,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
16,Perez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
17,Agosto,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
18,Torres,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
19,Garcia,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
20,Lopez,top_20_very_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
21,Martinez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
22,Mendez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
23,Gonzalez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
24,Maldonado,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
25,Melendez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
26,Menendez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
27,Guzman,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
28,Nieves,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
29,Lugo,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
30,Rosa,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
31,Santos,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
32,Delgado,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
33,Figueroa,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
34,Rosario,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
35,Jimenez,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
36,Medina,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
37,Acevedo,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
38,Arroyo,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
39,Padilla,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
40,Cortes,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
41,Rivero,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
42,Soto,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
43,Castro,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
44,Pagan,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
45,Roman,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
46,Miranda,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
47,Marrero,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
48,Roldan,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
49,Cordero,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
50,Fuentes,21_50_common,Puerto Rico,High-confidence Puerto Rico surname pool for game use
51,Alvarado,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
52,Ayala,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
53,Camacho,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
54,Correa,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
55,Estrada,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
56,Franco,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
57,Leon,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
58,Molina,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
59,Montanez,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
60,Quinones,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
61,Ruiz,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
62,Salas,51_100_normal,Puerto Rico,High-confidence Puerto Rico surname pool for game use
