Rank,Surname,RarityLayer,Country,Notes
1,Meredith,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
2,Keil,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
3,Westerlund,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
4,Ott,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
5,Betham,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
6,Fruean,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
7,Williams,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
8,Vaai,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
9,Grey,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
10,Fepuleai,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
11,Schuster,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
12,Tuala,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
13,Mariner,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
14,Retzlaff,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
15,Craig,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
16,Ah Liki,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
17,Rasmussen,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
18,Purcell,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
19,Foster,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
20,Coe,top_20_very_common,Samoa,High-confidence Samoa surname pool for game use
21,Hunt,21_50_common,Samoa,High-confidence Samoa surname pool for game use
22,Feo,21_50_common,Samoa,High-confidence Samoa surname pool for game use
23,Lee,21_50_common,Samoa,High-confidence Samoa surname pool for game use
24,Bartley,21_50_common,Samoa,High-confidence Samoa surname pool for game use
25,Brunt,21_50_common,Samoa,High-confidence Samoa surname pool for game use
26,Parkinson,21_50_common,Samoa,High-confidence Samoa surname pool for game use
27,Laban,21_50_common,Samoa,High-confidence Samoa surname pool for game use
28,Kenison,21_50_common,Samoa,High-confidence Samoa surname pool for game use
29,Young,21_50_common,Samoa,High-confidence Samoa surname pool for game use
30,Schwenke,21_50_common,Samoa,High-confidence Samoa surname pool for game use
31,Stowers,21_50_common,Samoa,High-confidence Samoa surname pool for game use
32,Afoa,21_50_common,Samoa,High-confidence Samoa surname pool for game use
33,Aiono,21_50_common,Samoa,High-confidence Samoa surname pool for game use
34,Alaalatoa,21_50_common,Samoa,High-confidence Samoa surname pool for game use
35,Anae,21_50_common,Samoa,High-confidence Samoa surname pool for game use
36,Auvaa,21_50_common,Samoa,High-confidence Samoa surname pool for game use
37,Faamausili,21_50_common,Samoa,High-confidence Samoa surname pool for game use
38,Fatialofa,21_50_common,Samoa,High-confidence Samoa surname pool for game use
39,Fuamatu,21_50_common,Samoa,High-confidence Samoa surname pool for game use
40,Laulala,21_50_common,Samoa,High-confidence Samoa surname pool for game use
41,Lealamanua,21_50_common,Samoa,High-confidence Samoa surname pool for game use
42,Leuluai,21_50_common,Samoa,High-confidence Samoa surname pool for game use
43,Maivia,21_50_common,Samoa,High-confidence Samoa surname pool for game use
44,Masoe,21_50_common,Samoa,High-confidence Samoa surname pool for game use
45,Muagututia,21_50_common,Samoa,High-confidence Samoa surname pool for game use
46,Saelua,21_50_common,Samoa,High-confidence Samoa surname pool for game use
47,Saena,21_50_common,Samoa,High-confidence Samoa surname pool for game use
48,Sio,21_50_common,Samoa,High-confidence Samoa surname pool for game use
49,Su'a,21_50_common,Samoa,High-confidence Samoa surname pool for game use
50,Tuilagi,21_50_common,Samoa,High-confidence Samoa surname pool for game use
51,Taufua,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
52,Toala,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
53,Savea,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
54,Ioane,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
55,Leatigaga,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
56,Mataafa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
57,Mauga,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
58,Misa,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
59,Mulitalo,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
60,Petaia,51_100_normal,Samoa,High-confidence Samoa surname pool for game use
