Rank,Surname,RarityLayer,Pool,Notes
1,Tan,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
2,Chan,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
3,Chong,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
4,Chen,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
5,Sim,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
6,Wang,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
7,Li,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
8,Lim,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
9,Tang,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
10,Lin,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
11,Lau,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
12,Cheng,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
13,Liu,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
14,Lai,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
15,Quek,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
16,Ng,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
17,Huang,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
18,Ong,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
19,Teo,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
20,Goh,top_20_very_common,Singapore Chinese,Expanded Singapore Chinese surname pool
21,Koh,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
22,Toh,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
23,Phua,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
24,Foo,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
25,Yap,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
26,Yeo,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
27,Seah,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
28,Chua,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
29,Kwek,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
30,Leong,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
31,Tay,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
32,Low,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
33,Png,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
34,Poh,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
35,Soh,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
36,Ho,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
37,Chew,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
38,Kua,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
39,Neo,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
40,Loke,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
41,Cheong,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
42,Boo,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
43,Heng,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
44,Khoo,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
45,Tong,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
46,Tng,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
47,Ooi,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
48,Ee,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
49,Beh,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
50,Yong,21_50_common,Singapore Chinese,Expanded Singapore Chinese surname pool
51,Yeap,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
52,Khong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
53,Khor,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
54,Ting,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
55,Kee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
56,Kia,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
57,Mok,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
58,Hoh,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
59,Peng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
60,Chang,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
61,Zhang,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
62,Xu,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
63,Xie,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
64,Wu,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
65,Zhao,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
66,Guo,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
67,Fang,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
68,Sun,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
69,Cai,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
70,Loh,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
71,See,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
72,Sng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
73,Kuek,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
74,Wee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
75,Peh,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
76,Ang,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
77,Yip,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
78,Poon,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
79,Fok,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
80,Lok,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
81,Mak,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
82,Au,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
83,Lee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
84,Bee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
85,Sia,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
86,Wan,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
87,Siaw,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
88,Kwan,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
89,Hsu,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
90,Deng,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
91,Chee,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
92,Miao,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
93,Yuen,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
94,Leu,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
95,Yeh,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
96,Cheah,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
97,Chia,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
98,Chin,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
99,Choo,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
100,Choong,51_100_normal,Singapore Chinese,Expanded Singapore Chinese surname pool
101,Chu,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
102,Eng,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
103,Fong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
104,Gan,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
105,Guan,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
106,Hor,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
107,How,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
108,Kang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
109,Khaw,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
110,Kong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
111,Koo,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
112,Lam,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
113,Leow,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
114,Ling,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
115,Pang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
116,Phang,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
117,Siew,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
118,Soon,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
119,Tee,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
120,Teh,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
121,Tio,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
122,Tse,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
123,Tsen,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
124,Wong,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
125,Woon,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
126,Yam,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
127,Yee,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
128,Yim,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
129,Yio,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
130,Yow,101_plus_rare,Singapore Chinese,Expanded Singapore Chinese surname pool
