Rank,Surname,RarityLayer,Pool,Notes
1,bin Abdullah,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
2,bin Ahmad,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
3,bin Ali,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
4,bin Hassan,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
5,bin Hussin,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
6,bin Ibrahim,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
7,bin Ismail,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
8,bin Omar,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
9,bin Osman,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
10,bin Rahman,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
11,bin Salleh,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
12,bin Yusof,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
13,bin Yacob,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
14,bin Kassim,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
15,bin Rashid,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
16,bin Hamid,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
17,bin Haron,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
18,bin Majid,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
19,bin Samad,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
20,bin Sabtu,top_20_very_common,Singapore Malay,Expanded Singapore Malay surname pool
21,Wan,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
22,Syed,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
23,Raja,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
24,Tengku,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
25,Sharifah,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
26,Ismail,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
27,Abdullah,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
28,Ahmad,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
29,Rahman,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
30,Razak,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
31,Hassan,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
32,Hussin,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
33,Ibrahim,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
34,Idris,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
35,Jamaluddin,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
36,Khalid,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
37,Mahmud,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
38,Mokhtar,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
39,Noor,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
40,Osman,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
41,Ramli,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
42,Salleh,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
43,Sulaiman,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
44,Yusof,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
45,Yunus,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
46,Zakaria,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
47,Zulkifli,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
48,Azman,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
49,Azmi,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
50,Bakri,21_50_common,Singapore Malay,Expanded Singapore Malay surname pool
51,Bakar,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
52,Basri,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
53,Daud,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
54,Fadli,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
55,Fauzi,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
56,Hamid,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
57,Hanif,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
58,Hashim,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
59,Johari,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
60,Kamal,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
61,Kassim,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
62,Khairuddin,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
63,Lokman,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
64,Mazlan,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
65,Mustafa,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
66,Nazri,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
67,Rahim,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
68,Rashid,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
69,Rosli,51_100_normal,Singapore Malay,Expanded Singapore Malay surname pool
