Rank,Surname,RarityLayer,Pool,Notes
1,Rajapaksa,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
2,Rajapaksha,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
3,Rathnayake,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
4,Rathnayaka,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
5,Jayawardene,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
6,Jayawardena,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
7,Bandaranaike,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
8,Gunawardena,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
9,Gunawardene,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
10,Gunasekara,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
11,Gunasekera,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
12,Wijesinghe,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
13,Wickramasinghe,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
14,Wickramasingha,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
15,Wickramanayake,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
16,Samarasinghe,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
17,Senanayake,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
18,Herath,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
19,Perera,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
20,Fernando,top_20_very_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
21,Silva,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
22,de Silva,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
23,Dias,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
24,Peiris,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
25,Peries,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
26,Mendis,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
27,de Mel,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
28,de Alwis,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
29,de Saram,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
30,de Fonseka,21_50_common,Sinhalese,Conservative high-confidence Sinhalese surname pool
