Rank,Surname,RarityLayer,Country,Notes
1,Mae,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
2,Ramo,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
3,Sau,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
4,Sale,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
5,Iro,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
6,Hou,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
7,Wale,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
8,Wate,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
9,Sade,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
10,Au,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
11,Talo,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
12,Billy,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
13,Sogavare,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
14,Manele,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
15,Houenipwela,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
16,Kenilorea,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
17,Ulufaalu,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
18,Kabui,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
19,Sikua,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
20,Lilo,top_20_very_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
21,Tovosia,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
22,Maelanga,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
23,Kwane,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
24,Kwasimbea,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
25,Maenuu,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
26,Mamaloni,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
27,Ramofafia,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
28,Kile,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
29,Tanangada,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
30,Rini,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
31,Rore,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
32,Sanga,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
33,Soaki,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
34,Suta,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
35,Sutcliffe,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
36,Talifilu,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
37,Tara,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
38,Taro,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
39,Tome,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
40,Vaka,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
41,Vala,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
42,Vane,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
43,Haga,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
44,Boso,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
45,Bola,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
46,Boe,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
47,Lau,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
48,Fifii,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
49,Fera,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
50,Mara,21_50_common,Solomon Islands,High-confidence Solomon Islands surname pool for game use
51,Mane,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
52,Nori,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
53,Namo,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
54,Namoa,51_100_normal,Solomon Islands,High-confidence Solomon Islands surname pool for game use
