Rank,Surname,RarityLayer,Pool,Notes
1,Reddy,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
2,Naidu,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
3,Rao,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
4,Raju,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
5,Chowdary,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
6,Choudhary,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
7,Varma,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
8,Varmah,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
9,Murthy,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
10,Sharma,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
11,Gupta,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
12,Yadav,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
13,Reddygaru,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
14,Nayudu,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
15,Setty,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
16,Shetty,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
17,Patel,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
18,Goud,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
19,Gowda,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
20,Reddyar,top_20_very_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
21,Acharya,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
22,Adapa,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
23,Akkiraju,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
24,Alluri,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
25,Arige,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
26,Attaluri,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
27,Avasarala,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
28,Ayinampudi,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
29,Bachu,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
30,Bairisetty,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
31,Balijepalli,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
32,Bandaru,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
33,Bandi,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
34,Bellamkonda,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
35,Bharadwaj,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
36,Bobbili,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
37,Bodapati,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
38,Budati,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
39,Chadalavada,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
40,Chaganti,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
41,Chakali,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
42,Challa,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
43,Chandrasekhar,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
44,Chennamaneni,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
45,Chennupati,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
46,Cherukuri,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
47,Chilaka,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
48,Chilukuri,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
49,Chilumula,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
50,Chintala,21_50_common,Telugu expanded,Expanded conservative Telugu expanded surname pool
51,Chityala,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
52,Chukka,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
53,Dasari,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
54,Devarakonda,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
55,Divvela,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
56,Dronamraju,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
57,Duvvuri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
58,Edara,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
59,Gali,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
60,Ganta,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
61,Garlapati,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
62,Ghanta,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
63,Gogineni,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
64,Gona,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
65,Goparaju,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
66,Gudivada,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
67,Gudla,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
68,Gullapalli,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
69,Gundlapalli,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
70,Gurram,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
71,Injeti,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
72,Jagarlamudi,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
73,Kandula,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
74,Kanuri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
75,Kata,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
76,Katuri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
77,Kaza,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
78,Kesineni,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
79,Kilaru,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
80,Kodali,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
81,Koduri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
82,Kondapalli,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
83,Kopalle,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
84,Kota,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
85,Kovelamudi,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
86,Krovvidi,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
87,Kuchi,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
88,Maddali,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
89,Madiraju,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
90,Mamidipudi,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
91,Manchu,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
92,Marella,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
93,Mukkamala,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
94,Mulpuri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
95,Munipalle,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
96,Muppavarapu,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
97,Nadendla,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
98,Nallari,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
99,Nandamuri,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
100,Narla,51_100_normal,Telugu expanded,Expanded conservative Telugu expanded surname pool
101,Nidamarthi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
102,Nimmagadda,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
103,Nori,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
104,Pakala,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
105,Pallam,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
106,Pamulaparti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
107,Panuganti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
108,Paruchuri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
109,Pasupuleti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
110,Patibandla,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
111,Penmetsa,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
112,Perumalla,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
113,Pidatala,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
114,Ponnala,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
115,Pusapati,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
116,Pydi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
117,Rachakonda,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
118,Rayapati,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
119,Rudraraju,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
120,Sagi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
121,Saluri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
122,Samineni,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
123,Sana,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
124,Sastry,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
125,Sattenapalli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
126,Sayana,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
127,Singaraju,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
128,Somayajulu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
129,Sunkara,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
130,Surapaneni,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
131,Tadikonda,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
132,Tallapaka,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
133,Tanikella,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
134,Tarigopula,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
135,Tenneti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
136,Thota,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
137,Tripuraneni,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
138,Tummala,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
139,Undavalli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
140,Upadrasta,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
141,Uppuluri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
142,Vadde,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
143,Valluri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
144,Vangapandu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
145,Velagapudi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
146,Vemuri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
147,Vepa,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
148,Veturi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
149,Yanamandra,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
150,Yarlagadda,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
151,Yenumula,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
152,Yerramsetti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
153,Yerramilli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
154,Yadlapati,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
155,Udayagiri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
156,Kanneganti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
157,Anumolu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
158,Boppana,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
159,Kothapalli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
160,Kommineni,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
161,Adusumilli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
162,Akarapu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
163,Aleti,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
164,Alapati,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
165,Amanchi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
166,Annavarapu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
167,Arvapalli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
168,Atmakuri,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
169,Bairi,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
170,Bapanapalli,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
171,Batta,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
172,Bhavaraju,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
173,Bommaraju,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
174,Bommireddy,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
175,Byreddy,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
176,Chebrolu,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
177,Cheemalapati,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
178,Chejerla,101_plus_rare,Telugu expanded,Expanded conservative Telugu expanded surname pool
