Rank,Surname,RarityLayer,Country,Notes
1,Latu,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
2,Fifita,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
3,Finau,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
4,Tupou,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
5,Mafi,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
6,Wang,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
7,Lin,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
8,Fonua,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
9,Chen,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
10,Moala,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
11,Havea,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
12,Manu,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
13,Taufa,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
14,Vea,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
15,Huang,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
16,Taumoepeau,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
17,Guo,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
18,Palu,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
19,Tuipulotu,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
20,Vunipola,top_20_very_common,Tonga,High-confidence Tonga surname pool for game use
21,Pohiva,21_50_common,Tonga,High-confidence Tonga surname pool for game use
22,Tuivakano,21_50_common,Tonga,High-confidence Tonga surname pool for game use
23,Utoikamanu,21_50_common,Tonga,High-confidence Tonga surname pool for game use
24,Kaufusi,21_50_common,Tonga,High-confidence Tonga surname pool for game use
25,Fakatava,21_50_common,Tonga,High-confidence Tonga surname pool for game use
26,Fakafanua,21_50_common,Tonga,High-confidence Tonga surname pool for game use
27,Fekitoa,21_50_common,Tonga,High-confidence Tonga surname pool for game use
28,Pulu,21_50_common,Tonga,High-confidence Tonga surname pool for game use
29,Lavaka,21_50_common,Tonga,High-confidence Tonga surname pool for game use
30,Fotu,21_50_common,Tonga,High-confidence Tonga surname pool for game use
31,Mataele,21_50_common,Tonga,High-confidence Tonga surname pool for game use
32,Tuifua,21_50_common,Tonga,High-confidence Tonga surname pool for game use
33,Taione,21_50_common,Tonga,High-confidence Tonga surname pool for game use
34,Folau,21_50_common,Tonga,High-confidence Tonga surname pool for game use
35,Tameifuna,21_50_common,Tonga,High-confidence Tonga surname pool for game use
36,Halapua,21_50_common,Tonga,High-confidence Tonga surname pool for game use
37,Koloamatangi,21_50_common,Tonga,High-confidence Tonga surname pool for game use
38,Aholelei,21_50_common,Tonga,High-confidence Tonga surname pool for game use
39,Fusimalohi,21_50_common,Tonga,High-confidence Tonga surname pool for game use
40,Moeaki,21_50_common,Tonga,High-confidence Tonga surname pool for game use
41,Motuapuaka,21_50_common,Tonga,High-confidence Tonga surname pool for game use
42,Nukuhifala,21_50_common,Tonga,High-confidence Tonga surname pool for game use
43,Tuineau,21_50_common,Tonga,High-confidence Tonga surname pool for game use
44,Tuitupou,21_50_common,Tonga,High-confidence Tonga surname pool for game use
45,Mateaki,21_50_common,Tonga,High-confidence Tonga surname pool for game use
46,Fusitu'a,21_50_common,Tonga,High-confidence Tonga surname pool for game use
47,Kelepi,21_50_common,Tonga,High-confidence Tonga surname pool for game use
48,Siale,21_50_common,Tonga,High-confidence Tonga surname pool for game use
49,Ofahengaue,21_50_common,Tonga,High-confidence Tonga surname pool for game use
