Rank,Surname,RarityLayer,Country,Notes
1,Tari,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
2,Garae,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
3,John,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
4,Bule,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
5,Aru,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
6,David,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
7,Jimmy,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
8,Tabi,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
9,Bani,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
10,George,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
11,Kalo,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
12,Obed,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
13,Jack,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
14,Boe,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
15,Toa,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
16,Kalsakau,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
17,Robert,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
18,Kilman,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
19,Lini,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
20,Sope,top_20_very_common,Vanuatu,High-confidence Vanuatu surname pool for game use
21,Regenvanu,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
22,Kalpokas,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
23,Carcasses,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
24,Natapei,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
25,Napuat,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
26,Salwai,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
27,Matai,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
28,Molu,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
29,Vohor,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
30,Willie,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
31,Tako,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
32,Pakoa,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
33,Sato,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
34,Sela,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
35,Tallis,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
36,Tom,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
37,Rovok,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
38,Melsisi,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
39,Molsis,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
40,Varua,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
41,Worwor,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
42,Waiwai,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
43,Wawo,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
44,Worinu,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
45,Mavun,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
46,Nalau,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
47,Nako,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
48,Rere,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
49,Tasso,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
50,Alick,21_50_common,Vanuatu,High-confidence Vanuatu surname pool for game use
51,Amos,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
52,Aron,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
53,Baldwin,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
54,Baniata,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
55,Baniam,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
56,Ben,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
57,Bulei,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
58,Caleb,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
59,Charlot,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
60,Chris,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
61,Clement,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
62,Daniel,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
63,Davidson,51_100_normal,Vanuatu,High-confidence Vanuatu surname pool for game use
