naming pool	Surname	Incidence
Basque	Bilbao	8,127
Basque	Diez	7,820
Basque	Aguirre	6,714
Basque	Zabala	5,077
Basque	Uriarte	4,564
Basque	Larrañaga	4,143
Basque	Garmendia	4,140
Basque	Santamaria	3,959
Basque	Alberdi	3,701
Basque	Ugarte	3,236
Basque	Arrieta	3,200
Basque	Arana	2,928
Basque	Mendizabal	2,906
Basque	Etxeberria	2,865
Basque	Etxebarria	2,860
Basque	Echevarria	2,841
Basque	Echeverria	2,781
Basque	Aramburu	2,758
Basque	Mugica	2,610
Basque	Urrutia	2,577
Basque	Lasa	2,574
Basque	Larrea	2,484
Basque	Jauregui	2,442
Basque	Izaguirre	2,334
Basque	Agirre	2,328
Basque	Angulo	2,305
Basque	Landa	2,212
Basque	Elorza	2,199
Basque	Sainz	2,158
Basque	Goikoetxea	2,106
Basque	Arrizabalaga	2,100
Basque	Arregui	2,099
Basque	Odriozola	2,019
Basque	Altuna	1,985
Basque	Madariaga	1,981
Basque	Aizpurua	1,975
Basque	Garay	1,873
Basque	Saenz	1,831
Basque	Zubizarreta	1,796
Basque	Zabaleta	1,766
Basque	Campo	1,730
Basque	Garate	1,716
Basque	Ochoa	1,687
Basque	Goicoechea	1,681
Basque	Ugalde	1,677
Basque	Telleria	1,659
Basque	Uranga	1,640
Basque	Egaña	1,583
Basque	Iriondo	1,570
Basque	Ibarra	1,542
Basque	Iturbe	1,518
Basque	Artola	1,487
Basque	Beitia	1,484
Basque	Olaizola	1,482
Basque	Calleja	1,435
Basque	Arruti	1,414
Basque	Badiola	1,402
Basque	Eizaguirre	1,393
Basque	Larrinaga	1,393
Basque	Bengoa	1,386
Basque	San Martin	1,377
Basque	Goñi	1,368
Basque	Pereda	1,367
Basque	Imaz	1,367
Basque	Iriarte	1,363
Basque	Aranguren	1,324
Basque	San-Martin	1,309
Basque	Barrio	1,289
Basque	Sarasola	1,283
Basque	Torre	1,275
Basque	Irastorza	1,250
Basque	Esnaola	1,240
Basque	Unanue	1,236
Basque	Elorriaga	1,232
Basque	Olano	1,220
Basque	Arnaiz	1,216
Basque	Uribe	1,210
Basque	Lizarralde	1,204
Basque	Ormazabal	1,184
Basque	Murua	1,153
Basque	Arce	1,152
Basque	Barandiaran	1,128
Basque	Oyarzabal	1,127
Basque	Azurmendi	1,111
Basque	Bartolome	1,108
Basque	Zubeldia	1,107
Basque	Pinedo	1,099
Basque	Iraola	1,095
Basque	Urquijo	1,093
Basque	Manterola	1,084
Basque	Urbieta	1,069
Basque	Goenaga	1,062
Basque	Aizpuru	1,062
Basque	Etxabe	1,061
Basque	Arriola	1,051
Basque	Ortiz de Zarate	1,025
Basque	Arruabarrena	1,018
Basque	Goitia	1,012
Basque	Azpiazu	1,009
Basque	Eguia	1,008
Basque	Astigarraga	1,006
Basque	Barrena	996
Basque	Bengoetxea	968
Basque	Uria	963
Basque	Arteaga	959
Basque	Osa	949
Basque	Arregi	933
Basque	Jauregi	931
Basque	Zorrilla	930
Basque	Gallastegui	930
Basque	Zarate	915
Basque	Errasti	915
Basque	Zubillaga	913
Basque	Etxaniz	912
Basque	Fuente	911
Basque	Aranburu	904
Basque	Albizu	902
Basque	Iturrioz	892
Basque	Juaristi	890
Basque	Manso	887
Basque	Galdos	885
Basque	Aramendi	873
Basque	Tolosa	872
Basque	Otegui	869
Basque	Beristain	869
Basque	Mendia	868
Basque	Arteche	868
Basque	Galarraga	864
Basque	Larrazabal	860
Basque	Lazcano	858
Basque	Allende	844
Basque	San Sebastian	837
Basque	Antolin	833
Basque	Mujika	831
Basque	Zubia	828
Basque	Galarza	823
Basque	Dorronsoro	821
Basque	Bengoechea	819
Basque	San-Sebastian	817
Basque	Lizaso	817
Basque	Irizar	817
Basque	Arriaga	805
Basque	Larrauri	804
Basque	Echaniz	797
Basque	Azkue	796
Basque	Isasi	794
Basque	Revuelta	791
Basque	Gabilondo	778
Basque	Arrillaga	776
Basque	Alcorta	770
Basque	Varona	769
Basque	Barrenechea	768
Basque	Olazabal	765
Basque	Iparraguirre	759
Basque	Acha	758
Basque	Mediavilla	753
Basque	Izagirre	753
Basque	San Miguel	750
Basque	Guinea	745
Basque	Zarraga	740
Basque	Urcelay	738
Basque	Marquinez	737
Basque	Olabarria	736
Basque	Eguren	735
Basque	Berasategui	733
Basque	Iturralde	732
Basque	Barcena	727
Basque	Orbegozo	726
Basque	San Juan	724
Basque	Eguiluz	721
Basque	Hierro	719
Basque	Celaya	718
Basque	Artetxe	717
Basque	Aranzabal	712
Basque	Monasterio	710
Basque	Legarreta	710
Basque	Echave	709
Basque	Vadillo	708
Basque	Basterra	708
Basque	Herran	707
Basque	Elizondo	707
Basque	Zuazo	706
Basque	Barrenetxea	705
Basque	Calzada	702
Basque	Ibarguren	700
Basque	Zaldua	697
Basque	San-Miguel	695
Basque	San Vicente	695
Basque	Insausti	693
Basque	Muguruza	692
Basque	Orive	690
Basque	Gallo	685
Basque	Vivanco	684
Basque	Salaberria	684
Basque	Uribarri	682
Basque	Segurola	679
Basque	Abasolo	677
Basque	Arratibel	676
Basque	Unzueta	675
Basque	Gorostiza	675
Basque	Irazabal	675
Basque	Bastida	671
Basque	Esnal	665
Basque	San-Juan	660
Basque	Igartua	660
Basque	Corcuera	658
Basque	Llano	654
Basque	Gurrutxaga	654
Basque	San-Vicente	653
Basque	Iza	652
Basque	Aldama	651
Basque	Legorburu	651
Basque	Arocena	647
Basque	Lecuona	644
Basque	Ibarrondo	642
Basque	Echebarria	641
Basque	Gurruchaga	639
Basque	Mendieta	638
Basque	Irigoyen	637
Basque	Lopetegui	637
Basque	Mancisidor	637
Basque	Llona	634
Basque	Urizar	630
Basque	Ruiz de Azua	625
Basque	Castresana	624
Basque	Urresti	621
Basque	Michelena	620
Basque	Alustiza	618
Basque	Guridi	617
Basque	Lazkano	615
Basque	Alkorta	615
Basque	Cortazar	613
Basque	Arambarri	609
Basque	Basterretxea	605
Basque	Ayestaran	601
Basque	Argote	599
Basque	Zulueta	598
Basque	Rementeria	598
Basque	Garro	596
Basque	Aurrekoetxea	594
Basque	Gorostiaga	593
Basque	Sedano	591
Basque	Marañon	591
Basque	Armendariz	589
Basque	Arostegui	589
Basque	Sarasua	589
Basque	Olea	588
Basque	Armentia	587
Basque	Ugartemendia	585
Basque	Lizarraga	583
Basque	Iribar	582
Basque	Epelde	580
Basque	Alday	578
Basque	Vicario	575
Basque	Oleaga	575
Basque	Elguezabal	573
Basque	Aldasoro	572
Basque	Aldalur	572
Basque	Estebanez	570
Basque	Lete	570
Basque	Muro	566
Basque	Oyarbide	564
Basque	Gamboa	563
Basque	Olabarrieta	563
Basque	Balerdi	563
Basque	Beldarrain	561
Basque	Otaegui	559
Basque	Zaballa	557
Basque	Zubiaurre	556
Basque	Samaniego	549
Basque	Ibarzabal	548
Basque	Azcue	547
Basque	Otaola	546
Basque	Azpeitia	543
Basque	Zapirain	542
Basque	Eizagirre	542
Basque	Orue	541
Basque	Azkarate	541
Basque	Urteaga	540
Basque	Echeveste	540
Basque	Eizmendi	539
Basque	Busto	538
Basque	Mendiola	536
Basque	Apraiz	536
Basque	Elorduy	534
Basque	Etxebeste	534
Basque	Irazusta	530
Basque	Elosegui	529
Basque	Lekuona	529
Basque	Macho	526
Basque	Basterrechea	526
Basque	Garai	525
Basque	Beraza	524
Basque	Ostolaza	524
Basque	Arenaza	524
Basque	Santisteban	523
Basque	Urdangarin	523
Basque	Alava	522
Basque	Eceiza	522
Basque	Gorrochategui	518
Basque	Otamendi	514
Basque	Etxezarreta	512
Basque	Tellechea	510
Basque	Landeta	510
Basque	Apaolaza	509
Basque	Alegria	508
Basque	Castrillo	506
Basque	Urrestarazu	500
Basque	Barrutia	499
Basque	Garin	498
Basque	Aldazabal	498
Basque	Yarza	497
Basque	Iruretagoyena	496
Basque	Vitoria	495
Basque	Inchausti	493
Basque	Ormaechea	492
Basque	Pagola	491
Basque	Guisasola	491
Basque	Intxausti	491
Basque	Basabe	490
Basque	Gorostidi	488
Basque	Illarramendi	488
