Name,Name ASCII,Country code,Country name,Continent,Official,Gender,Unisex,Country Rank,Frequency,is_noise,is_mainstream_local,is_embedded_panregional,is_local_form_quality_ok,is_male_local,is_foreign_anchor,foreign_anchor_region,is_diaspora_likely,confidence,final_status,indicator_notes,OriginalName,NameCleaned,NameLatin
Andi,andi,AL,Albania,Europe,n,m,y,1,92,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Andi,Andi,Andi
Ilir,ilir,AL,Albania,Europe,n,m,n,2,83,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ilir,Ilir,Ilir
Elton,elton,AL,Albania,Europe,n,m,n,3,78,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Elton,Elton,Elton
Ardit,ardit,AL,Albania,Europe,n,m,n,4,77,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Ardit,Ardit,Ardit
Ervin,ervin,AL,Albania,Europe,n,m,n,5,71,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ervin,Ervin,Ervin
Ermal,ermal,AL,Albania,Europe,n,m,n,6,69,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ermal,Ermal,Ermal
Altin,altin,AL,Albania,Europe,n,m,n,7,63,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Altin,Altin,Altin
Denis,denis,AL,Albania,Europe,n,m,n,8,59,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Denis,Denis,Denis
Arber,arber,AL,Albania,Europe,n,m,n,9,59,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Arber,Arber,Arber
Arben,arben,AL,Albania,Europe,n,m,n,10,59,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Arben,Arben,Arben
Dritan,dritan,AL,Albania,Europe,n,m,n,11,58,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Dritan,Dritan,Dritan
Alban,alban,AL,Albania,Europe,n,m,n,12,58,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Alban,Alban,Alban
Endri,endri,AL,Albania,Europe,n,m,n,13,52,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Endri,Endri,Endri
Sokol,sokol,AL,Albania,Europe,n,m,n,14,51,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Sokol,Sokol,Sokol
Erion,erion,AL,Albania,Europe,n,m,n,15,51,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Erion,Erion,Erion
Fatjon,fatjon,AL,Albania,Europe,n,m,n,16,50,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Fatjon,Fatjon,Fatjon
Mario,mario,AL,Albania,Europe,n,m,n,17,49,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Mario,Mario,Mario
Florian,florian,AL,Albania,Europe,n,m,n,18,48,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Florian,Florian,Florian
Erjon,erjon,AL,Albania,Europe,n,m,n,19,48,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Erjon,Erjon,Erjon
Albi,albi,AL,Albania,Europe,n,m,n,20,46,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Albi,Albi,Albi
Erald,erald,AL,Albania,Europe,n,m,n,21,45,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Erald,Erald,Erald
Artur,artur,AL,Albania,Europe,n,m,n,22,41,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Artur,Artur,Artur
Ervis,ervis,AL,Albania,Europe,n,m,n,23,40,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ervis,Ervis,Ervis
Elvis,elvis,AL,Albania,Europe,n,m,n,24,40,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Elvis,Elvis,Elvis
Klajdi,klajdi,AL,Albania,Europe,n,m,n,25,38,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klajdi,Klajdi,Klajdi
Arlind,arlind,AL,Albania,Europe,n,m,n,26,38,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Arlind,Arlind,Arlind
Klevis,klevis,AL,Albania,Europe,n,m,n,27,37,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klevis,Klevis,Klevis
Gentian,gentian,AL,Albania,Europe,n,m,n,28,37,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Gentian,Gentian,Gentian
Besnik,besnik,AL,Albania,Europe,n,m,n,29,36,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Besnik,Besnik,Besnik
Endrit,endrit,AL,Albania,Europe,n,m,n,30,35,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Endrit,Endrit,Endrit
Ardian,ardian,AL,Albania,Europe,n,m,n,31,35,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Ardian,Ardian,Ardian
Indrit,indrit,AL,Albania,Europe,n,m,n,32,34,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Indrit,Indrit,Indrit
Klodian,klodian,AL,Albania,Europe,n,m,n,33,33,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Klodian,Klodian,Klodian
Jona,jona,AL,Albania,Europe,n,m,y,34,33,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Jona,Jona,Jona
Saimir,saimir,AL,Albania,Europe,n,m,n,35,32,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Saimir,Saimir,Saimir
Besmir,besmir,AL,Albania,Europe,n,m,n,36,32,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Besmir,Besmir,Besmir
Aldo,aldo,AL,Albania,Europe,n,m,n,37,32,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Aldo,Aldo,Aldo
Ermir,ermir,AL,Albania,Europe,n,m,n,38,31,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Ermir,Ermir,Ermir
Bledar,bledar,AL,Albania,Europe,n,m,n,39,31,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Bledar,Bledar,Bledar
Leonard,leonard,AL,Albania,Europe,n,m,n,40,30,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Leonard,Leonard,Leonard
Kreshnik,kreshnik,AL,Albania,Europe,n,m,n,42,29,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Kreshnik,Kreshnik,Kreshnik
Igli,igli,AL,Albania,Europe,n,m,n,43,29,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Igli,Igli,Igli
Edmond,edmond,AL,Albania,Europe,n,m,n,44,29,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Edmond,Edmond,Edmond
Kevin,kevin,AL,Albania,Europe,n,m,n,45,28,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Kevin,Kevin,Kevin
Gezim,gezim,AL,Albania,Europe,n,m,n,46,28,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Gezim,Gezim,Gezim
Albert,albert,AL,Albania,Europe,n,m,n,47,28,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Albert,Albert,Albert
Jurgen,jurgen,AL,Albania,Europe,n,m,n,48,27,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Jurgen,Jurgen,Jurgen
Eduard,eduard,AL,Albania,Europe,n,m,n,49,27,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Eduard,Eduard,Eduard
Aleksander,aleksander,AL,Albania,Europe,n,m,n,50,27,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Aleksander,Aleksander,Aleksander
Taulant,taulant,AL,Albania,Europe,n,m,n,51,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,,Taulant,Taulant,Taulant
Julian,julian,AL,Albania,Europe,n,m,n,52,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,high,core,panregional,Julian,Julian,Julian
Gjergji,gjergji,AL,Albania,Europe,n,m,n,53,26,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,albanian,FALSE,medium,international_core,foreign_anchor:albanian;close_neighbor_embedded,Gjergji,Gjergji,Gjergji
