Rank,Name,RarityLayer,Pool,Notes
1,Amadou,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
2,Bello,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
3,Buba,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
4,Bubakar,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
5,Demba,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
6,Diallo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
7,Dikko,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
8,Djibo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
9,Hamma,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
10,Hamidu,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
11,Hassan,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
12,Ibrahim,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
13,Issa,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
14,Jallo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
15,Kande,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
16,Lamine,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
17,Lawan,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
18,Mamadou,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
19,Modibo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
20,Mohammadu,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
21,Moussa,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
22,Nuhu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
23,Ousmane,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
24,Sadiq,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
25,Saidu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
26,Saliu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
27,Sambo,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
28,Shehu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
29,Suleiman,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
30,Tambari,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
31,Umaru,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
32,Usman,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
33,Yakubu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
34,Yero,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
35,Yusuf,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
36,Abba,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
37,Abdou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
38,Abdoulaye,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
39,Ahmadou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
40,Aliou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani male given-name pool
