Rank,Name,RarityLayer,Pool,Notes
1,Abdullahi,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
2,Abubakar,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
3,Adamu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
4,Ahmadu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
5,Auwal,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
6,Bashir,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
7,Bello,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
8,Dahiru,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
9,Garba,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
10,Hamza,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
11,Haruna,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
12,Ibrahim,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
13,Idris,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
14,Iliyasu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
15,Isah,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
16,Kabiru,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
17,Lawal,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
18,Mansur,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
19,Muhammad,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
20,Musa,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
21,Nasiru,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
22,Sadiq,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
23,Saidu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
24,Salihu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
25,Shehu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
26,Sulaiman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
27,Umar,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
28,Usman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
29,Yakubu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
30,Yahaya,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
31,Yusuf,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
32,Zubairu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
33,Abdulkadir,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
34,Abdulrahman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
35,Ado,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
36,Aliyu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
37,Aminu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
38,Anas,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
39,Bala,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
40,Dikko,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa male given-name pool
