Rank,Name,RarityLayer,Pool,Notes
1,Chukwuemeka,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
2,Emeka,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
3,Ifeanyi,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
4,Uchenna,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
5,Obinna,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
6,Obiora,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
7,Ikenna,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
8,Chukwudi,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
9,Chinedu,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
10,Chinonso,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
11,Chibueze,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
12,Chibuike,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
13,Chidera,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
14,Chidiebere,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
15,Chigozie,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
16,Chijioke,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
17,Chika,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
18,Chikamso,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
19,Chima,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
20,Chinaza,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
21,Chinelo,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
22,Chinua,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
23,Chisom,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
24,Ebuka,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
25,Ekene,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
26,Ifeanyichukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
27,Ikechukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
28,Kelechi,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
29,Kenechukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
30,Lotanna,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
31,Nnaemeka,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
32,Nnamdi,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
33,Nonso,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
34,Nwachukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
35,Obi,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
36,Obiajulu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
37,Obichukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
38,Okechukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
39,Onyekachi,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
40,Onyeka,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
41,Somto,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
42,Somtochukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
43,Ugochukwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
44,Ugonna,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
45,Uzoma,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
46,Chukwuma,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
47,Chukwunonso,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
48,Chukwuebuka,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
49,Ezedinma,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
50,Kanayo,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
51,Kamsi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
52,Maduabuchi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
53,Nkem,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
54,Nwafor,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
55,Nwankwo,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
56,Nwora,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
57,Obialor,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
58,Ofodile,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
59,Olisa,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
60,Oluchukwu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
61,Onwubiko,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
62,Osondu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
63,Tobechi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
64,Tobenna,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
65,Tochukwu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
66,Uba,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
67,Uche,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
68,Uchechukwu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
69,Udochi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
70,Ugo,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
71,Umeh,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
72,Uzor,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
73,Zikora,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
74,Azubike,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
75,Anayo,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
76,Amaechi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
77,Anulika,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
78,Ifechukwu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
79,Ihekuna,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
80,Nnabuife,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
81,Nnaji,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
82,Nnamani,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
83,Nwodo,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
84,Obioma,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
85,Ozoemena,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
86,Tabansi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
87,Udemezue,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
88,Uzochukwu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
89,Amadi,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
90,Anichebe,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
91,Agu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
92,Madueke,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
93,Nwadike,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
94,Onu,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
95,Okafor,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
96,Okeke,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
97,Okoli,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
98,Okonkwo,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
99,Okoro,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
100,Okoye,51_100_normal,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
101,Amarachi,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
102,Amauche,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
103,Chidalu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
104,Chidimma,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
105,Chiemeka,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
106,Chiemerie,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
107,Chikadibia,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
108,Chikere,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
109,Chinenye,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
110,Chinyere,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
111,Daberechi,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
112,Ezeani,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
113,Ezeh,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
114,Ezinwanne,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
115,Ifechukwuma,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
116,Ifesinachi,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
117,Ikemefuna,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
118,Kamsiyochukwu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
119,Kelechukwu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
120,Kosiso,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
121,Maduakolam,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
122,Ndukwe,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
123,Nmesoma,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
124,Nwanneka,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
125,Nwogu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
126,Nworaeze,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
127,Obumneme,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
128,Obumselu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
129,Odochukwu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
130,Ofoma,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
131,Oluebube,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
132,Onwuegbuzie,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
133,Onyekachukwu,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
134,Onyekwerechi,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
135,Onyinye,101_plus_rare,Nigeria Igbo,Expanded Nigeria Igbo male given-name pool
