Rank,Name,RarityLayer,Pool,Notes
1,Terkula,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
2,Tersoo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
3,Terver,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
4,Terna,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
5,Terwase,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
6,Terdoo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
7,Iorapuu,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
8,Iorbee,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
9,Atule,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
10,Aondona,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
11,Aondoakaa,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
12,Dooshima,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
13,Shima,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
14,Mvendaga,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
15,Tyowua,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
16,Agbo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
17,Akor,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
18,Aondofa,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
19,Aondover,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
20,Aondowase,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
21,Ayu,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
22,Iorfa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
23,Iortim,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
24,Aga,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
25,Akaa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
26,Aondohemba,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
27,Aondoseer,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
28,Bem,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
29,Dondo,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
30,Gbakaan,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
31,Gusa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
32,Hembadoon,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
33,Ishaya,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
34,Jato,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
35,Kator,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
36,Kughur,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
37,Mba,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
38,Mfa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
39,Mingiu,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
40,Mlumun,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
41,Msugh,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
42,Nongu,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
43,Orkuma,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
44,Shaku,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
45,Suswam,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
46,Torbunde,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
47,Tyokase,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
48,Vanger,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
49,Oche,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
50,Ocholi,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
51,Ochigbo,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
52,Onoja,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
53,Akpa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
54,Ejembi,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
55,Ode,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
56,Ogaba,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
57,Okopi,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
58,Onuche,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
59,Ameh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
60,Abutu,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
61,Odoh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
62,Abbah,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
63,Gyang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
64,Davou,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
65,Dabup,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
66,Pwajok,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
67,Diket,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
68,Bala Gyang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
69,Jatau,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
70,Pam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
71,Dangana,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
72,Jang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
73,Yiljap,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
74,Botmang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
75,Mupsen,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
76,Akombo,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
77,Aondongu,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
78,Bawa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
79,Dagana,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
80,Dem,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
81,Gwom,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
82,Jethro,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
83,Kefas,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
84,Ladi,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
85,Mallo,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
86,Nanpon,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
87,Ponfa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
88,Shandam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
89,Targema,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
90,Wakili,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
91,Yari,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
92,Aondoghuma,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
93,Tyotyev,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
94,Nongov,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
95,Ishaku,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
96,Msen,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
97,Tyough,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
98,Aondotim,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
99,Aondowua,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
100,Aondugh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
101,Asema,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
102,Atoo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
103,Aven,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
104,Bemshima,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
105,Chia,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
106,Doo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
107,Dooga,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
108,Gengeng,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
109,Hembev,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
110,Iorhemba,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
111,Iorkyaa,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
112,Katorga,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
113,Kpaan,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
114,Kughdo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
115,Mfe,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
116,Msenter,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
117,Nonguh,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority male given-name pool
