Rank,Name,RarityLayer,Pool,Notes
1,Tamuno,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
2,Tari,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
3,Tariemi,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
4,Tariere,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
5,Preye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
6,Piriye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
7,Ebi,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
8,Ebiere,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
9,Ibiwari,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
10,Tonye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
11,Tonbara,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
12,Wariboko,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
13,Owei,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
14,Kuro,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
15,Aminikpo,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
16,Yeibo,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
17,Amas,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
18,Boma,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
19,Tamunobelema,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
20,Tamunotonye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
21,Tamunosiki,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
22,Tamunopriye,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
23,Tamunobiebari,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
24,Tamunosimi,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
25,Tamunokuro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
26,Ibifiri,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
27,Biebi,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
28,Efemena,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
29,Efe,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
30,Ejiro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
31,Ejovi,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
32,Ejiroghene,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
33,Oghenekaro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
34,Oghenechovwe,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta male given-name pool
