Rank,Name,RarityLayer,Pool,Notes
1,Ademola,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
2,Adewale,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
3,Adekunle,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
4,Adebayo,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
5,Adeniyi,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
6,Adedayo,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
7,Adejare,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
8,Adeleke,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
9,Adeola,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
10,Adetokunbo,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
11,Adetola,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
12,Adetunji,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
13,Adesina,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
14,Adewumi,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
15,Akinwale,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
16,Akinyemi,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
17,Akinjide,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
18,Akinola,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
19,Akintola,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
20,Akintunde,top_20_very_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
21,Ayodele,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
22,Ayomide,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
23,Ayotunde,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
24,Babatunde,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
25,Babajide,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
26,Babalola,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
27,Bankole,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
28,Bolaji,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
29,Dele,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
30,Dimeji,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
31,Dotun,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
32,Durojaiye,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
33,Durotimi,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
34,Femi,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
35,Folarin,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
36,Folorunso,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
37,Gbenga,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
38,Idowu,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
39,Ifedayo,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
40,Kayode,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
41,Kehinde,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
42,Kolade,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
43,Kunle,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
44,Muyiwa,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
45,Niyi,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
46,Odunayo,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
47,Olamide,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
48,Olanrewaju,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
49,Olatunde,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
50,Oladapo,21_50_common,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
51,Oladele,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
52,Oladimeji,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
53,Oladipo,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
54,Olaide,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
55,Olaniyi,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
56,Olawale,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
57,Olufemi,51_100_normal,Nigeria Yoruba,Expanded Nigeria Yoruba male given-name pool
