Rank,Surname,RarityLayer,Pool,Notes
1,Abdullahi,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
2,Ahmadu,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
3,Aliyu,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
4,Amadou,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
5,Ardo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
6,Bello,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
7,Buba,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
8,Diallo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
9,Dikko,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
10,Djibo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
11,Hamidu,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
12,Hamma,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
13,Ibrahima,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
14,Ibrahim,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
15,Issa,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
16,Jallo,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
17,Kande,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
18,Lamido,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
19,Lawan,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
20,Mamadou,top_20_very_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
21,Modibo,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
22,Mohammadu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
23,Moussa,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
24,Nuhu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
25,Ousmane,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
26,Saidu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
27,Saliu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
28,Sambo,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
29,Shehu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
30,Suleiman,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
31,Tambari,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
32,Umaru,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
33,Usman,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
34,Yero,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
35,Yusuf,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
36,Abba,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
37,Abdou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
38,Abdoulaye,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
39,Ahmadou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
40,Aliou,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
41,Amadu,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
42,Bala,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
43,Barka,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
44,Birane,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
45,Bouba,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
46,Danladi,21_50_common,Nigeria Fulani,Expanded Nigeria Fulani surname pool
