Rank,Surname,RarityLayer,Pool,Notes
1,Adamu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
2,Ahmad,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
3,Ahmadu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
4,Aliyu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
5,Aminu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
6,Bello,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
7,Dahiru,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
8,Garba,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
9,Haruna,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
10,Ibrahim,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
11,Idris,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
12,Isah,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
13,Kabiru,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
14,Lawal,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
15,Mansur,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
16,Musa,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
17,Nasir,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
18,Sadiq,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
19,Saidu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
20,Salihu,top_20_very_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
21,Shehu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
22,Sulaiman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
23,Umar,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
24,Usman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
25,Yakubu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
26,Yahaya,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
27,Yusuf,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
28,Abdullahi,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
29,Abubakar,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
30,Ado,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
31,Akilu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
32,Auwal,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
33,Bala,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
34,Dikko,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
35,Farouk,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
36,Gambo,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
37,Hamisu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
38,Hassan,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
39,Iliyasu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
40,Jibrin,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
41,Khalid,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
42,Mahmud,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
43,Mamman,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
44,Mustapha,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
45,Nuhu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
46,Rabiu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
47,Sagir,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
48,Shuaibu,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
49,Tijjani,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
50,Yunusa,21_50_common,Nigeria Hausa,Expanded Nigeria Hausa surname pool
51,Abdulkadir,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
52,Abdulrahman,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
53,Anas,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
54,Ayuba,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
55,Babangida,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
56,Bako,51_100_normal,Nigeria Hausa,Expanded Nigeria Hausa surname pool
