Rank,Surname,RarityLayer,Pool,Notes
1,Achebe,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
2,Achike,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
3,Acholonu,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
4,Aneke,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
5,Anozie,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
6,Anyadike,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
7,Anyanwu,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
8,Anyiam,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
9,Arinze,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
10,Asagwara,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
11,Azikiwe,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
12,Chibueze,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
13,Chibuike,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
14,Chilaka,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
15,Chukwu,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
16,Chukwuka,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
17,Eke,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
18,Ekwueme,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
19,Esimone,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
20,Eze,top_20_very_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
21,Ezejiofor,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
22,Ezenwa,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
23,Ibe,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
24,Ibezim,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
25,Iheanacho,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
26,Ikpeazu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
27,Iwu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
28,Madu,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
29,Mba,21_50_common,Nigeria Igbo,Expanded Nigeria Igbo surname pool
