Rank,Surname,RarityLayer,Pool,Notes
1,Tor,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
2,Ter,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
3,Ior,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
4,Aondo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
5,Terna,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
6,Terver,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
7,Tersoo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
8,Terwase,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
9,Torkwase,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
10,Suswam,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
11,Akume,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
12,Agbo,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
13,Ameh,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
14,Aondoakaa,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
15,Aondofa,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
16,Aondover,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
17,Aondoseer,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
18,Aondohemba,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
19,Aondowase,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
20,Aondona,top_20_very_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
21,Atule,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
22,Bem,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
23,Dondo,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
24,Gbakaan,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
25,Gusa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
26,Hembe,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
27,Iorapuu,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
28,Iorbee,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
29,Iortim,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
30,Ishaya,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
31,Jato,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
32,Kator,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
33,Kughur,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
34,Mba,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
35,Mfa,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
36,Mlumun,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
37,Mnger,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
38,Msen,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
39,Msugh,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
40,Nongu,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
41,Orkuma,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
42,Shaku,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
43,Shima,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
44,Tyokase,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
45,Tyowua,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
46,Vanger,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
47,Oche,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
48,Ocholi,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
49,Ochigbo,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
50,Onoja,21_50_common,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
51,Odoh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
52,Abbah,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
53,Abutu,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
54,Ode,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
55,Ogaba,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
56,Okopi,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
57,Onuche,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
58,Achor,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
59,Adakole,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
60,Attah,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
61,Edoh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
62,Enenche,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
63,Jang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
64,Jatau,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
65,Kefas,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
66,Pam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
67,Pwajok,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
68,Dabup,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
69,Diket,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
70,Dangana,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
71,Gyang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
72,Yiljap,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
73,Botmang,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
74,Ankwa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
75,Ayuba,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
76,Bawa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
77,Damina,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
78,Dagana,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
79,Gwom,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
80,Katung,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
81,Nanpon,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
82,Nankling,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
83,Ndam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
84,Nyam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
85,Ponfa,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
86,Sati,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
87,Shandam,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
88,Targema,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
89,Wakili,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
90,Yari,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
91,Yiltok,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
92,Tyotyev,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
93,Aondoghuma,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
94,Nongov,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
95,Akombo,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
96,Mallo,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
97,Ishaku,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
98,Aondongu,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
99,Aondugh,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
100,Aondughan,51_100_normal,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
101,Asema,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
102,Atoo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
103,Aven,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
104,Bemshima,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
105,Chia,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
106,Doo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
107,Dooga,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
108,Gengeng,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
109,Hembev,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
110,Iorhemba,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
111,Iorkyaa,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
112,Katorga,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
113,Kpaan,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
114,Kughdo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
115,Mfe,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
116,Msenter,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
117,Nonguh,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
118,Orkaa,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
119,Shaagee,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
120,Shior,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
121,Torkuma,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
122,Torsue,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
123,Uji,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
124,Ushahemba,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
125,Wase,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
126,Akolo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
127,Atim,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
128,Edime,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
129,Enokela,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
130,Inokela,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
131,Jemgbagh,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
132,Jimeh,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
133,Mgbashima,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
134,Okute,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
135,Onaji,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
136,Otache,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
137,Yashi,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
138,Zakka,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
139,Bamigboye,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
140,Dokana,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
141,Nanmwa,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
142,Gusaakaa,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
143,Tyopine,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
144,Yitnoe,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
145,Mop,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
146,Yough,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
147,Aondotse,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
148,Agene,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
149,Aoko,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
150,Asikpo,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
151,Enokpoli,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
152,Inale,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
153,Otobrisin,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
154,Pamson,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
155,Dem,101_plus_rare,Nigeria Middle Belt / Northern minority,Expanded Nigeria Middle Belt / Northern minority surname pool
