Rank,Surname,RarityLayer,Pool,Notes
1,Tamuno,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
2,Tari,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
3,Preye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
4,Tonye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
5,Wariboko,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
6,Owei,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
7,Boma,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
8,Tamunobelema,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
9,Tamunotonye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
10,Tamunosiki,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
11,Tamunopriye,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
12,Tamunobiebari,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
13,Tamunosimi,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
14,Tamunokuro,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
15,Tariemi,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
16,Tariere,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
17,Ibiwari,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
18,Yeibo,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
19,Amas,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
20,Kuro,top_20_very_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
21,Briggs,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
22,Georgewill,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
23,Dappa,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
24,Jaja,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
25,Fiberesima,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
26,Harry,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
27,Duke,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
28,Peterside,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
29,Pepple,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
30,Jumbo,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
31,Biriye,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
32,Ogbonda,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
33,Abiye,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
34,Perekeme,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
35,Barine,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
36,Amachree,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
37,Tariah,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
38,Ibifiri,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
39,Biebi,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
40,Okowa,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
41,Okoro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
42,Efe,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
43,Efemena,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
44,Ejiro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
45,Ejovi,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
46,Ejiroghene,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
47,Oghenekaro,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
48,Oghenechovwe,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
49,Oghenerukevwe,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
50,Oghenetega,21_50_common,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
51,Oghenetekevwe,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
52,Oghenebrume,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
53,Oghenevwede,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
54,Erharuyi,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
55,Igho,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
56,Ighorodje,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
57,Onome,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
58,Onoriode,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
59,Onovughakpo,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
60,Akpobome,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
61,Akpojaro,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
62,Osaze,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
63,Osagie,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
64,Osamudiamen,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
65,Osarobo,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
66,Osaretin,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
67,Osahon,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
68,Osemwegie,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
69,Ehizojie,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
70,Aigbe,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
71,Aisagbonhi,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
72,Akhigbe,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
73,Idehen,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
74,Igbinedion,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
75,Ogie,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
76,Okojie,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
77,Omoigui,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
78,Omorogbe,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
79,Etim,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
80,Aniefiok,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
81,Aniekan,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
82,Ekong,51_100_normal,Nigeria South-South / Niger Delta,Expanded Nigeria South-South / Niger Delta surname pool
