Name,Country
Andi,Albania
Ilir,Albania
Elton,Albania
Ardit,Albania
Ervin,Albania
Ermal,Albania
Altin,Albania
Denis,Albania
Arben,Albania
Arber,Albania
Dritan,Albania
Alban,Albania
Endri,Albania
Erion,Albania
Sokol,Albania
Fatjon,Albania
Mario,Albania
Florian,Albania
Erjon,Albania
Albi,Albania
Erald,Albania
Artur,Albania
Elvis,Albania
Ervis,Albania
Klajdi,Albania
Arlind,Albania
Klevis,Albania
Gentian,Albania
Besnik,Albania
Endrit,Albania
Ardian,Albania
Indrit,Albania
Klodian,Albania
Jona,Albania
Besmir,Albania
Saimir,Albania
Aldo,Albania
Bledar,Albania
Ermir,Albania
Leonard,Albania
Armando,Albania
Kreshnik,Albania
Igli,Albania
Edmond,Albania
Gezim,Albania
Kevin,Albania
Albert,Albania
Jurgen,Albania
Eduard,Albania
Aleksander,Albania
Eduart,Albania
Dorian,Albania
Julian,Albania
Taulant,Albania
Gjergji,Albania
Artan,Albania
Agim,Albania
Lulzim,Albania
Renato,Albania
Fatmir,Albania
Edi,Albania
Shkelzen,Albania
Genti,Albania
Flori,Albania
Armand,Albania
Olsi,Albania
Petrit,Albania
Donald,Albania
Fatos,Albania
Daniel,Albania
Luan,Albania
Amarildo,Albania
Astrit,Albania
Adrian,Albania
Redi,Albania
Rei,Albania
Bledi,Albania
Blerim,Albania
Bujar,Albania
Alfred,Albania
Adi,Albania
Arjan,Albania
Marsel,Albania
Edison,Albania
Lorenc,Albania
Roland,Albania
Gjergj,Albania
Florenc,Albania
Ardi,Albania
Robert,Albania
Ledio,Albania
Klaudio,Albania
Ergys,Albania
Toni,Albania
Ylli,Albania
Eraldo,Albania
Flamur,Albania
Dardan,Albania
Mariglen,Albania
Aurel,Albania
Adriatik,Albania
Rezart,Albania
Kujtim,Albania
Kristian,Albania
Xhulio,Albania
Gent,Albania
Gerald,Albania
Shkelqim,Albania
Marin,Albania
Mikel,Albania
Martin,Albania
Ergi,Albania
Fation,Albania
Kastriot,Albania
Ben,Albania
Jetmir,Albania
Ilirjan,Albania
Admir,Albania
Aldi,Albania
Anton,Albania
Agron,Albania
Bekim,Albania
Bashkim,Albania
Laert,Albania
Joni,Albania
Florjan,Albania
Pellumb,Albania
Niko,Albania
Shpetim,Albania
Zef,Albania
Henri,Albania
Genc,Albania
Genci,Albania
Gentjan,Albania
Fitim,Albania
Don,Albania
Klodi,Albania
Alex,Albania
Vladimir,Albania
Oltion,Albania
Skender,Albania
Blendi,Albania
David,Albania
Klodjan,Albania
Jeton,Albania
Ismail,Albania
Dorjan,Albania
Dionis,Albania
Enes,Albania
Enri,Albania
Emiljano,Albania
Eris,Albania
Arian,Albania
Antonio,Albania
Renis,Albania
Visar,Albania
Xhoni,Albania
Urim,Albania
Gert,Albania
Fisnik,Albania
Klejdi,Albania
Juxhin,Albania
Skerdi,Albania
Stefan,Albania
Bruno,Albania
Besart,Albania
Bora,Albania
Marko,Albania
Albano,Albania
Afrim,Albania
Armend,Albania
Alket,Albania
Nikolin,Albania
Olti,Albania
Ndricim,Albania
Naim,Albania
Perparim,Albania
Osman,Albania
Just,Albania
Juljan,Albania
Tani,Albania
Zamir,Albania
Durim,Albania
Drilon,Albania
Ernest,Albania
Erblin,Albania
Eno,Albania
Gazmend,Albania
Gazmir,Albania
Eldi,Albania
Fredi,Albania
Romeo,Albania
Arnold,Albania
Albion,Albania
Hasan,Albania
Mark,Albania
Mirel,Albania
Murat,Albania
Mustafa,Albania
Eugen,Albania
