Region	Country	VisualBucket	percent	naming pool	Persona	naming split
UEFA	Iceland	Scandinavia	58	Iceland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Iceland	EuroNorth	38	Iceland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Iceland	RedHair	4	Iceland 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Norway	Scandinavia	56	Norway 0.88, Denmark 0.07, Sweden 0.05	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Norway	EuroNorth	29	Norway 0.88, Denmark 0.07, Sweden 0.05	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Norway	Anatolian	3	Turkey 0.85, Norway 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Norway	Levant	5	Iraq 0.45, Syria 0.45, Lebanon 0.10	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Norway	Persia	2	Iran 0.90, Norway 0.10	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Norway	AfricaHorn	2	Somalia 0.70, Ethiopia 0.30	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Norway	RedHair	3	Norway 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Sweden	Scandinavia	48	Sweden 0.92, Norway 0.08	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Sweden	EuroNorth	24	Sweden 0.92, Norway 0.08	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Sweden	Finno	8	Finland 0.82, Sweden 0.18	LOCAL_HEAVY	NATION_HERITAGE 0.50, HERITAGE_HERITAGE 0.45, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Sweden	EuroBalkans	7	Bosnia and Herzegovina 0.28, Serbia 0.22, Croatia 0.18, Kosovo 0.17, North Macedonia 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Sweden	Levant	5	Iraq 0.45, Syria 0.30, Lebanon 0.15, Palestine 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Sweden	Anatolian	3	Turkey 0.85, Sweden 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Sweden	AfricaHorn	3	Somalia 0.70, Ethiopia 0.30	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Sweden	RedHair	2	Sweden 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Denmark	Scandinavia	46	Denmark 0.87, Norway 0.05, Sweden 0.04, Germany 0.04	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Denmark	EuroNorth	36	Denmark 0.87, Norway 0.05, Sweden 0.04, Germany 0.04	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Denmark	Anatolian	5	Turkey 0.85, Denmark 0.15	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Denmark	Levant	3	Lebanon 0.30, Iraq 0.30, Syria 0.25, Palestine 0.15	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Denmark	AfricaHorn	1	Somalia 0.60, Ethiopia 0.40	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Denmark	AfricaWest	3	Ghana 0.40, NigeriaYoruba 0.1, NigeriaIgbo 0.15, NigeriaDelta 0.10, Senegal 0.25	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Denmark	EuroBalkans	4	Bosnia and Herzegovina 0.30, Serbia 0.20, Croatia 0.20, Kosovo 0.20, Albania 0.10	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Denmark	RedHair	2	Denmark 1.00	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Finland	Finno	60	Finland 0.92, Sweden 0.08	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Finland	EuroNorth	22	Finland 0.92, Sweden 0.08	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	Finland	Scandinavia	12	Finland  0.55, Sweden 0.45	LOCAL_HEAVY	NATION_HERITAGE 0.50, HERITAGE_HERITAGE 0.45, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Finland	EuroEast	4	Finland 0.60, Russia 0.40	LOCAL_HEAVY	NATION_HERITAGE 0.50, HERITAGE_HERITAGE 0.45, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	Finland	AfricaHorn	2	Somalia 0.60, Ethiopia 0.40	HERITAGE_BALANCED	HERITAGE_HERITAGE 0.53, NATION_HERITAGE 0.42, NATION_NATION 0.04, HERITAGE_NATION 0.01
UEFA	England	BritishIsles	62	England 0.82, Wales 0.06, Scotland 0.06, Ireland 0.06	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	England	EuroNorth	7	England 0.75, Netherlands 0.15, Denmark 0.10	FULL_HERITAGE	HERITAGE_HERITAGE 0.95, NATION_HERITAGE 0.03, NATION_NATION 0.02, HERITAGE_NATION 0.00
UEFA	England	AfricaWest	10	NigeriaYoruba 0.2, NigeriaIgbo 0.1, NigeriaDelta 0.10, Ghana 0.25,  Senegal 0.15, Liberia 0.20	HERITAGE_HEAVY	HERITAGE_HERITAGE 0.60, NATION_HERITAGE 0.35, NATION_NATION 0.04, HERITAGE_NATION 0.01
