naming_pool,name_type,name,score,pool_seq
country_AFG,given,Ahmad,90,1
country_AFG,given,Mohammad,90,2
country_AFG,given,Abdullah,90,3
country_AFG,given,Ali,90,4
country_AFG,given,Omar,90,5
country_AFG,given,Khalid,90,6
country_AFG,given,Mustafa,90,7
country_AFG,given,Yousuf,90,8
country_AFG,given,Hamid,90,9
country_AFG,given,Hamza,90,10
country_AFG,given,Muhammad,90,11
country_AFG,given,Mahdi,90,12
country_AFG,given,Samiullah,90,13
country_AFG,given,Ebrahim,90,14
country_AFG,given,Ajmal,90,15
country_AFG,given,Hassan,90,16
country_AFG,given,Omid,72,17
country_AFG,given,Bilal,90,18
country_AFG,given,Farhad,90,19
country_AFG,given,Khan,40,20
country_AFG,given,Ahmadullah,90,21
country_AFG,given,Abdul,82,22
country_AFG,given,Mujtaba,82,23
country_AFG,given,Haroon,82,24
country_AFG,given,Abdulrahman,90,25
country_AFG,given,Habib,90,26
country_AFG,given,Faisal,82,27
country_AFG,given,Sayed,90,28
country_AFG,given,Amin,90,29
country_AFG,given,Nasir,90,30
country_AFG,given,Rohullah,90,31
country_AFG,given,Ayaan,72,32
country_AFG,given,Mirwais,90,33
country_AFG,given,Zubair,90,34
country_AFG,given,Zabihullah,90,35
country_AFG,given,Qais,90,37
country_AFG,given,Asadullah,90,38
country_AFG,given,Arsalan,82,39
country_AFG,given,Zahid,82,40
country_AFG,given,Jawad,82,41
country_AFG,given,Farid,90,43
country_AFG,given,Fahim,90,44
country_AFG,given,Najibullah,90,45
country_AFG,given,Ismail,90,46
country_AFG,given,Bashir,90,47
country_AFG,given,Aziz,90,48
country_AFG,given,Sami,72,49
country_AFG,given,Matiullah,90,51
country_AFG,given,Asad,72,53
country_AFG,given,Rafiullah,90,54
country_AFG,given,Imran,72,55
country_AFG,given,Haji,40,56
country_AFG,given,Safiullah,90,57
country_AFG,given,Rahmatullah,90,58
country_AFG,given,Hussain,90,60
country_AFG,given,Reza,90,62
country_AFG,given,Mansoor,90,63
country_AFG,given,Tariq,90,65
country_AFG,given,Ehsan,90,66
country_AFG,given,Asif,90,67
country_AFG,given,Ibrahim,90,68
country_AFG,given,Habibullah,90,69
country_AFG,given,Ehsanullah,90,70
country_AFG,given,Wali,90,72
country_AFG,given,Wahid,90,73
country_AFG,given,Hamed,90,74
country_AFG,given,Sharif,90,75
country_AFG,given,Hamidullah,90,76
country_AFG,given,Jan,40,77
country_AFG,given,Shafiq,90,78
country_AFG,given,Arif,90,79
country_AFG,given,Wahidullah,90,80
country_AFG,given,Noorullah,90,81
country_AFG,given,Najib,90,82
country_AFG,given,Azizullah,90,84
country_AFG,given,Rahim,90,86
country_AFG,given,Ezatullah,90,87
country_AFG,given,Samim,90,88
country_AFG,given,Esmatullah,82,91
country_AFG,given,Waheed,82,92
country_AFG,given,Shoaib,90,93
country_AFG,given,Khalil,82,95
country_AFG,given,Abid,72,96
country_AFG,given,Aimal,82,97
country_AFG,given,Basir,90,99
country_AFG,given,Fazal,90,101
country_AFG,given,Ihsanullah,90,102
country_AFG,given,Karim,90,103
country_AFG,given,Amanullah,90,104
country_AFG,given,Murtaza,90,105
country_AFG,given,Nasrat,90,106
country_AFG,given,Obaidullah,90,107
country_AFG,given,Jawid,90,108
country_AFG,given,Yasin,90,109
country_AFG,given,Abdul-Rahman,90,110
country_AFG,given,Dawood,90,111
country_AFG,given,Sahil,72,112
country_AFG,given,Saifullah,90,113
country_AFG,given,Malik,72,114
country_AFG,given,Irfan,90,115
country_AFG,given,Hameed,90,116
country_AFG,given,Javed,82,117
country_AFG,given,Mahmood,90,118
country_AFG,given,Najeeb,90,119
country_AFG,given,Rahmat,72,120
country_AFG,given,Sadiq,90,121
country_AFG,given,Naeem,72,122
country_AFG,given,Javid,90,123
country_AFG,given,Naqibullah,90,124
country_AFG,given,Shafiullah,90,125
country_AFG,given,Rafi,72,126
country_AFG,given,Shafiqullah,90,127
country_AFG,given,Ahmed,90,128
country_AFG,given,Tamim,90,129
country_AFG,given,Shah,90,130
country_AFG,given,Abbas,90,131
country_AFG,given,Jamshid,72,132
country_AFG,given,Atiqullah,90,133
country_AFG,given,Nazir,90,134
country_AFG,given,Ramin,82,135
country_AFG,given,Masood,82,136
country_AFG,given,Qudratullah,90,137
country_AFG,given,Fawad,90,138
country_AFG,given,Amir,90,139
country_AFG,given,Rashid,82,140
country_AFG,given,Hashmatullah,82,141
country_AFG,given,Hekmatullah,82,142
country_AFG,given,Sardar,82,143
country_AFG,given,Robert,82,144
country_AFG,given,Vinicius,82,145
country_AFG,given,Joao,82,146
country_AFG,given,Sabawoon,82,147
country_AFG,given,Hayatullah,82,148
country_AFG,given,Kamran,82,149
country_AFG,given,Naqib,82,150
country_AFG,given,Umar,82,151
country_AFG,given,Yousaf,82,152
country_AFG,given,Naveed,82,153
country_AFG,given,Shahid,82,154
country_AFG,given,Naseer,82,155
country_AFG,given,Maiwand,82,156
country_AFG,given,Ahsan,82,157
country_AFG,given,Frank,82,158
country_AFG,given,Nasratullah,82,159
country_AFG,given,Zabiullah,82,160
country_AFG,given,Hanif,82,161
country_AFG,given,King,82,162
country_AFG,given,Aman,82,163
country_AFG,given,Arman,82,164
country_AFG,given,Hans,82,165
country_AFG,given,Jawed,82,166
country_AFG,given,Qasim,82,167
country_AFG,given,Eduardo,82,168
country_AFG,given,Waris,82,169
country_AFG,given,Leonardo,82,170
country_AFG,given,Naser,82,171
country_AFG,given,Lutfullah,82,172
country_AFG,given,Sultan,82,173
country_AFG,given,Usman,82,174
country_AFG,given,Zabi,82,175
country_AFG,given,Hafizullah,82,176
country_AFG,given,Najeebullah,82,177
country_AFG,given,Saeed,82,178
country_AFG,given,Hashmat,82,179
country_AFG,given,Rob,82,180
country_AFG,given,William,82,181
country_AFG,given,Anwar,82,182
country_AFG,given,Híkmâtúlláh,82,183
