Rank,GivenName,RarityLayer,Notes
1,Jean,top_20_very_common,French Canadian / Quebec male given-name pool
2,Marc,top_20_very_common,French Canadian / Quebec male given-name pool
3,Luc,top_20_very_common,French Canadian / Quebec male given-name pool
4,Pierre,top_20_very_common,French Canadian / Quebec male given-name pool
5,Michel,top_20_very_common,French Canadian / Quebec male given-name pool
6,Andre,top_20_very_common,French Canadian / Quebec male given-name pool
7,Francois,top_20_very_common,French Canadian / Quebec male given-name pool
8,Louis,top_20_very_common,French Canadian / Quebec male given-name pool
9,Nicolas,top_20_very_common,French Canadian / Quebec male given-name pool
10,Mathieu,top_20_very_common,French Canadian / Quebec male given-name pool
11,Olivier,top_20_very_common,French Canadian / Quebec male given-name pool
12,Alexandre,top_20_very_common,French Canadian / Quebec male given-name pool
13,Samuel,top_20_very_common,French Canadian / Quebec male given-name pool
14,Gabriel,top_20_very_common,French Canadian / Quebec male given-name pool
15,Charles,top_20_very_common,French Canadian / Quebec male given-name pool
16,Antoine,top_20_very_common,French Canadian / Quebec male given-name pool
17,Philippe,top_20_very_common,French Canadian / Quebec male given-name pool
18,David,top_20_very_common,French Canadian / Quebec male given-name pool
19,Julien,top_20_very_common,French Canadian / Quebec male given-name pool
20,Simon,top_20_very_common,French Canadian / Quebec male given-name pool
21,Maxime,21_50_common,French Canadian / Quebec male given-name pool
22,Vincent,21_50_common,French Canadian / Quebec male given-name pool
23,Etienne,21_50_common,French Canadian / Quebec male given-name pool
24,Sebastien,21_50_common,French Canadian / Quebec male given-name pool
25,Kevin,21_50_common,French Canadian / Quebec male given-name pool
26,Cedric,21_50_common,French Canadian / Quebec male given-name pool
27,Martin,21_50_common,French Canadian / Quebec male given-name pool
28,Dominic,21_50_common,French Canadian / Quebec male given-name pool
29,Patrick,21_50_common,French Canadian / Quebec male given-name pool
30,Eric,21_50_common,French Canadian / Quebec male given-name pool
31,Daniel,21_50_common,French Canadian / Quebec male given-name pool
32,Pascal,21_50_common,French Canadian / Quebec male given-name pool
33,Benoit,21_50_common,French Canadian / Quebec male given-name pool
34,Claude,21_50_common,French Canadian / Quebec male given-name pool
35,Stephane,21_50_common,French Canadian / Quebec male given-name pool
36,Hugo,21_50_common,French Canadian / Quebec male given-name pool
37,Felix,21_50_common,French Canadian / Quebec male given-name pool
38,Xavier,21_50_common,French Canadian / Quebec male given-name pool
39,Laurent,21_50_common,French Canadian / Quebec male given-name pool
40,Remi,21_50_common,French Canadian / Quebec male given-name pool
41,Emile,21_50_common,French Canadian / Quebec male given-name pool
42,Noel,21_50_common,French Canadian / Quebec male given-name pool
43,Christophe,21_50_common,French Canadian / Quebec male given-name pool
44,Jerome,21_50_common,French Canadian / Quebec male given-name pool
45,Jean-Francois,21_50_common,French Canadian / Quebec male given-name pool
46,Jean-Philippe,21_50_common,French Canadian / Quebec male given-name pool
47,Jean-Sebastien,21_50_common,French Canadian / Quebec male given-name pool
48,Jean-Christophe,21_50_common,French Canadian / Quebec male given-name pool
49,Jean-Michel,21_50_common,French Canadian / Quebec male given-name pool
50,Jean-Pierre,21_50_common,French Canadian / Quebec male given-name pool
51,Jean-Marc,51_100_normal,French Canadian / Quebec male given-name pool
52,Jean-Claude,51_100_normal,French Canadian / Quebec male given-name pool
53,Jean-Guy,51_100_normal,French Canadian / Quebec male given-name pool
54,Jean-Paul,51_100_normal,French Canadian / Quebec male given-name pool
55,Marc-Andre,51_100_normal,French Canadian / Quebec male given-name pool
56,Marc-Olivier,51_100_normal,French Canadian / Quebec male given-name pool
57,Marc-Antoine,51_100_normal,French Canadian / Quebec male given-name pool
58,Louis-Philippe,51_100_normal,French Canadian / Quebec male given-name pool
59,Louis-Charles,51_100_normal,French Canadian / Quebec male given-name pool
60,Louis-David,51_100_normal,French Canadian / Quebec male given-name pool
61,Pierre-Luc,51_100_normal,French Canadian / Quebec male given-name pool
62,Pierre-Olivier,51_100_normal,French Canadian / Quebec male given-name pool
63,Pierre-Alexandre,51_100_normal,French Canadian / Quebec male given-name pool
64,Francois-Xavier,51_100_normal,French Canadian / Quebec male given-name pool
65,Jean-Nicolas,51_100_normal,French Canadian / Quebec male given-name pool
66,Jean-Simon,51_100_normal,French Canadian / Quebec male given-name pool
67,Jean-Charles,51_100_normal,French Canadian / Quebec male given-name pool
68,Jean-David,51_100_normal,French Canadian / Quebec male given-name pool
69,Jean-Luc,51_100_normal,French Canadian / Quebec male given-name pool
70,Mathis,51_100_normal,French Canadian / Quebec male given-name pool
71,William,51_100_normal,French Canadian / Quebec male given-name pool
72,Tommy,51_100_normal,French Canadian / Quebec male given-name pool
73,Tom,51_100_normal,French Canadian / Quebec male given-name pool
74,Thomas,51_100_normal,French Canadian / Quebec male given-name pool
75,Nathan,51_100_normal,French Canadian / Quebec male given-name pool
76,Jonathan,51_100_normal,French Canadian / Quebec male given-name pool
77,Francis,51_100_normal,French Canadian / Quebec male given-name pool
78,Denis,51_100_normal,French Canadian / Quebec male given-name pool
79,Guy,51_100_normal,French Canadian / Quebec male given-name pool
80,Roger,51_100_normal,French Canadian / Quebec male given-name pool
81,Yves,51_100_normal,French Canadian / Quebec male given-name pool
82,Alain,51_100_normal,French Canadian / Quebec male given-name pool
83,Gilles,51_100_normal,French Canadian / Quebec male given-name pool
84,Raymond,51_100_normal,French Canadian / Quebec male given-name pool
85,Fernand,51_100_normal,French Canadian / Quebec male given-name pool
86,Gerard,51_100_normal,French Canadian / Quebec male given-name pool
87,Jacques,51_100_normal,French Canadian / Quebec male given-name pool
88,Robert,51_100_normal,French Canadian / Quebec male given-name pool
89,Rene,51_100_normal,French Canadian / Quebec male given-name pool
90,Gaetan,51_100_normal,French Canadian / Quebec male given-name pool
91,Normand,51_100_normal,French Canadian / Quebec male given-name pool
92,Yvan,51_100_normal,French Canadian / Quebec male given-name pool
93,Sylvain,51_100_normal,French Canadian / Quebec male given-name pool
94,Bruno,51_100_normal,French Canadian / Quebec male given-name pool
95,Dany,51_100_normal,French Canadian / Quebec male given-name pool
96,Steve,51_100_normal,French Canadian / Quebec male given-name pool
97,Carl,51_100_normal,French Canadian / Quebec male given-name pool
98,Mario,51_100_normal,French Canadian / Quebec male given-name pool
99,Joel,51_100_normal,French Canadian / Quebec male given-name pool
100,Frederic,51_100_normal,French Canadian / Quebec male given-name pool
101,Alec,101_plus_rare,French Canadian / Quebec male given-name pool
102,Loic,101_plus_rare,French Canadian / Quebec male given-name pool
103,Ludovic,101_plus_rare,French Canadian / Quebec male given-name pool
104,Raphael,101_plus_rare,French Canadian / Quebec male given-name pool
105,Noah,101_plus_rare,French Canadian / Quebec male given-name pool
106,Liam,101_plus_rare,French Canadian / Quebec male given-name pool
107,Elliot,101_plus_rare,French Canadian / Quebec male given-name pool
108,Mikael,101_plus_rare,French Canadian / Quebec male given-name pool
109,Tristan,101_plus_rare,French Canadian / Quebec male given-name pool
110,Cedrick,101_plus_rare,French Canadian / Quebec male given-name pool
111,Jeremie,101_plus_rare,French Canadian / Quebec male given-name pool
112,Baptiste,101_plus_rare,French Canadian / Quebec male given-name pool
113,Adrien,101_plus_rare,French Canadian / Quebec male given-name pool
114,Leon,101_plus_rare,French Canadian / Quebec male given-name pool
115,Arnaud,101_plus_rare,French Canadian / Quebec male given-name pool
116,Manuel,101_plus_rare,French Canadian / Quebec male given-name pool
117,Damien,101_plus_rare,French Canadian / Quebec male given-name pool
118,Matis,101_plus_rare,French Canadian / Quebec male given-name pool
119,Corentin,101_plus_rare,French Canadian / Quebec male given-name pool
120,Laurier,101_plus_rare,French Canadian / Quebec male given-name pool
121,Aurelien,101_plus_rare,French Canadian / Quebec male given-name pool
122,Emmanuel,101_plus_rare,French Canadian / Quebec male given-name pool
123,Natan,101_plus_rare,French Canadian / Quebec male given-name pool
124,Theo,101_plus_rare,French Canadian / Quebec male given-name pool
125,Victor,101_plus_rare,French Canadian / Quebec male given-name pool
