Rank,GivenName,RarityLayer,Notes
1,Jose,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
2,Juan,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
3,Luis,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
4,Carlos,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
5,Jorge,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
6,Miguel,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
7,Angel,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
8,Jesus,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
9,Alejandro,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
10,Daniel,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
11,Antonio,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
12,David,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
13,Javier,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
14,Francisco,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
15,Ricardo,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
16,Fernando,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
17,Manuel,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
18,Ruben,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
19,Eduardo,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
20,Sergio,top_20_very_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
21,Mario,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
22,Adrian,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
23,Raul,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
24,Hector,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
25,Victor,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
26,Roberto,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
27,Cesar,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
28,Oscar,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
29,Alberto,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
30,Armando,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
31,Pedro,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
32,Gabriel,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
33,Emilio,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
34,Rafael,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
35,Diego,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
36,Arturo,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
37,Salvador,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
38,Ramon,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
39,Julio,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
40,Marco,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
41,Martin,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
42,Enrique,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
43,Gilberto,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
44,Ismael,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
45,Noe,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
46,Edgar,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
47,Alfredo,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
48,Leonardo,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
49,Saul,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
50,Andres,21_50_common,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
51,Joel,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
52,Omar,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
53,Ivan,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
54,Esteban,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
55,Guillermo,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
56,Cruz,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
57,Elias,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
58,Moises,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
59,Cristian,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
60,Cristobal,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
61,Matias,51_100_normal,US Hispanic/Chicano-style male given-name pool; intended to mix with Latin American source pools
