Name	Estimated Rank	Country
Oliver	1	Wales
Harry	2	wales
Jack	3	Wales
George	4	wales
Noah	5	Wales
Charlie	6	wales
Jacob	7	Wales
Oscar	8	wales
Thomas	9	Wales
Alfie	10	wales
Owen	11	Wales
Dylan	12	wales
Reece	13	Wales
Evan	14	wales
Rhys	15	Wales
Graham	16	wales
Connor	17	Wales
Patrick	18	wales
Gareth	19	Wales
Grant	20	wales
harri	21	Wales
Osian	22	wales
Leo	23	Wales
William	24	wales
Henry	25	Wales
James	26	wales
Joshua	27	Wales
Archie	28	wales
Freddie	29	Wales
Ethan	30	wales
Alexander	31	Wales
Isaac	32	wales
Lucas	33	Wales
Joseph	34	wales
Max	35	Wales
Arthur	36	wales
Edward	37	Wales
Stuart	38	wales
David	39	Wales
Luca	40	wales
Finley	41	Wales
Ethan	42	wales
Jac	43	Wales
Paul	44	wales
Chris	45	Wales
Mark	46	wales
John	47	Wales
Tom	48	wales
Bruce	49	Wales
Andrew	50	wales
Michael	51	Wales
Ben	52	wales
Sam	53	Wales
Alex	54	wales
Richard	55	Wales
Adam	56	wales
Daniel	57	Wales
Matt	58	wales
Andy	59	Wales
Simon	60	wales
Steve	61	Wales
Matthew	62	wales
Ryan	63	Wales
Dan	64	wales
Ian	65	Wales
Jamie	66	wales
Peter	67	Wales
Stephen	68	wales
Joe	69	Wales
Lee	70	wales
Nick	71	Wales
Craig	72	wales
Luke	73	Wales
Scott	74	wales
Mike	75	Wales
Dave	76	wales
Rob	77	Wales
Liam	78	wales
Martin	79	Wales
Josh	80	wales
Robert	81	Wales
Neil	82	wales
Gary	83	Wales
Steven	84	wales
Kevin	85	Wales
Jonathan	86	wales
Darren	87	Wales
Jordan	88	wales
Alan	89	Wales
Tim	90	wales
Lewis	91	Wales
Jason	92	wales
Phil	93	Wales
Tony	94	wales
Danny	95	Wales
Will	96	wales
Nathan	97	Wales
Jake	98	wales
Jon	99	Wales
Anthony	100	wales
Christopher	101	Wales
Colin	102	wales
Aaron	103	Wales
Ashley	104	wales
Dean	105	Wales
Brian	106	wales
Jay	107	Wales
Kyle	108	wales
Carl	109	Wales
Philip	110	wales
Jim	111	Wales
Pete	112	wales
Gavin	113	Wales
Adrian	114	wales
Marc	115	Wales
Greg	116	wales
Barry	117	Wales
Nigel	118	wales
Ed	119	Wales
Billy	120	wales
Louis	121	Wales
Karl	122	wales
Terry	123	Wales
Ollie	124	wales
Samuel	125	Wales
Rich	126	wales
Justin	127	Wales
Dominic	128	wales
Huw	129	Wales
Benjamin	130	wales
Charles	131	Wales
Robin	132	wales
Nicholas	133	Wales
Bradley	134	wales
Joel	135	Wales
Russell	136	wales
Toby	137	Wales
Tommy	138	wales
Brad	139	Wales
Jeremy	140	wales
Roger	141	Wales
Glyn	142	wales
Julian	143	Wales
Matty	144	wales
Elliot	145	Wales
Frank	146	wales
Tyler	147	Wales
Taylor	148	wales
Geraint	149	Wales
Jeff	150	wales
Geoff	151	Wales
Trevor	152	wales
Leon	153	Wales
Dom	154	wales
Ricky	155	Wales
Ray	156	wales
Guy	157	Wales
Eddie	158	wales
Alun	159	Wales
Kris	160	wales
Ken	161	Wales
Owain	162	wales
Kenny	163	Wales
Glenn	164	wales
Antony	165	Wales
Damian	166	wales
Roy	167	Wales
Clive	168	wales
Eric	169	Wales
Mathew	170	wales
Brett	171	Wales
Rick	172	wales
Harvey	173	Wales
Drew	174	wales
Elliott	175	Wales
Mikey	176	wales
Hugh	177	Wales
Al	178	wales
Warren	179	Wales
Pat	180	wales
Phillip	181	Wales
Sebastian	182	wales
Sammy	183	Wales
Nic	184	wales
Laurence	185	Wales
Lawrence	186	wales
Mitchell	187	Wales
Howard	188	wales
Harrison	189	Wales
Curtis	190	wales
Francis	191	Wales
Joey	192	wales
Corey	193	Wales
Raymond	194	wales
Fred	195	Wales
Spencer	196	wales
Daryl	197	Wales
Kai	198	wales
Richie	199	Wales
Vincent	200	wales
Andre	201	Wales
Donald	202	wales
Miles	203	Wales
Dennis	204	wales
Tristan	205	Wales
Jude	206	wales
Victor	207	Wales
Gabriel	208	wales
Theo	209	Wales
Rowan	210	wales
Rupert	211	Wales
Mason	212	wales
Zac	213	Wales
Hugo	214	wales
Bailey	215	Wales
Logan	216	wales
Noel	217	Wales
Wesley	218	wales
Gregory	219	Wales
Jerry	220	wales
Felix	221	Wales
Blake	222	wales
Harley	223	Wales
Jesse	224	wales
Finn	225	Wales
Nathaniel	226	wales
Albert	227	Wales
Louie	228	wales
Vince	229	Wales
Dewi	230	wales
Zack	231	Wales
Troy	232	wales
Kirk	233	Wales
Cory	234	wales
Ioan	235	Wales
Micky	236	wales
Tobias	237	Wales
Sonny	238	wales
Jackson	239	Wales
Riley	240	wales
Cole	241	Wales
Stanley	242	wales
Roman	243	Wales
Ashton	244	wales
Jasper	245	Wales
Rhydian	246	wales
Caleb	247	Wales
Edwin	248	wales
Jayden	249	Wales
Teddy	250	wales
Emyr	251	Wales
Harris	252	wales
Ruben	253	Wales
Winston	254	wales
Wyn	255	Wales
Xavier	256	wales
Alfred	257	Wales
Elijah	258	wales
Theodore	259	Wales
Morgan	260	wales
Lloyd	261	Wales
Ellis	262	wales
Haydn	263	Wales
Bryn	264	wales
