Country name	Name	rank
Switzerland Italian	David	1
Switzerland Italian	Leonardo	2
Switzerland Italian	Christian	3
Switzerland Italian	Liam	4
Switzerland Italian	Martin	5
Switzerland Italian	Noah	6
Switzerland Italian	Patrick	7
Switzerland Italian	Edoardo	8
Switzerland Italian	Andreas	9
Switzerland Italian	Luca	10
Switzerland Italian	Stefan	11
Switzerland Italian	Alessandro	12
Switzerland Italian	Marco	13
Switzerland Italian	Tommaso	14
Switzerland Italian	Marc	15
Switzerland Italian	Gabriele	16
Switzerland Italian	Alex	17
Switzerland Italian	Matteo	18
Switzerland Italian	Adrian	19
Switzerland Italian	Leon	20
Switzerland Italian	Chris	21
Switzerland Italian	Diego	22
Switzerland Italian	Samuel	23
Switzerland Italian	Riccardo	24
Switzerland Italian	Manuel	25
Switzerland Italian	Elia	26
Switzerland Italian	Filippo	27
Switzerland Italian	Robert	28
Switzerland Italian	Davide	29
Switzerland Italian	Alexander	30
Switzerland Italian	Nicolas	31
Switzerland Italian	Raphael	32
Switzerland Italian	Bruno	33
Switzerland Italian	Andrea	34
Switzerland Italian	Paul	35
Switzerland Italian	Enea	36
Switzerland Italian	Stephan	37
Switzerland Italian	Nicolò	38
Switzerland Italian	Dominik	39
Switzerland Italian	Benjamin	40
Switzerland Italian	Gabriel	41
Switzerland Italian	Kevin	42
Switzerland Italian	Leone	43
Switzerland Italian	Tom	44
Switzerland Italian	Mattia	45
Switzerland Italian	Mike	46
Switzerland Italian	Pietro	47
Switzerland Italian	Mark	48
Switzerland Italian	Vincent	49
Switzerland Italian	Roman	50
Switzerland Italian	Mario	51
Switzerland Italian	Sandro	52
Switzerland Italian	Fabio	53
Switzerland Italian	Frank	54
Switzerland Italian	Felix	55
Switzerland Italian	Jonathan	56
Switzerland Italian	Claudio	57
Switzerland Italian	Max	58
Switzerland Italian	Sven	59
Switzerland Italian	Antonio	60
Switzerland Italian	Roberto	61
Switzerland Italian	Sam	62
Switzerland Italian	Ben	63
Switzerland Italian	Tim	64
Switzerland Italian	Nico	65
Switzerland Italian	Stefano	66
Switzerland Italian	Lucas	67
Switzerland Italian	Ivan	68
Switzerland Italian	Francesco	69
Switzerland Italian	Robin	70
Switzerland Italian	Sascha	71
Switzerland Italian	Leo	72
Switzerland Italian	Julian	73
Switzerland Italian	Dominic	74
Switzerland Italian	Victor	75
Switzerland Italian	Remo	76
Switzerland Italian	Nicola	77
Switzerland Italian	Anthony	78
Switzerland Italian	Paolo	79
Switzerland Italian	Hugo	80
Switzerland Italian	Philip	81
Switzerland Italian	Giuseppe	82
Switzerland Italian	Lars	83
Switzerland Italian	Yannick	84
Switzerland Italian	Dario	85
Switzerland Italian	Alberto	86
Switzerland Italian	William	87
Switzerland Italian	Sergio	88
Switzerland Italian	Marcus	89
Switzerland Italian	Gregory	90
Switzerland Italian	Charles	91
Switzerland Italian	Carlo	92
Switzerland Italian	Guido	93
Switzerland Italian	Giovanni	94
Switzerland Italian	Lorenzo	95
Switzerland Italian	Cyril	96
Switzerland Italian	Jörg	97
Switzerland Italian	Louis	98
Switzerland Italian	Renato	99
Switzerland Italian	Fred	100
Switzerland Italian	Ueli	101
Switzerland Italian	Arthur	102
Switzerland Italian	Mauro	103
Switzerland Italian	Nathan	104
Switzerland Italian	Massimo	105
Switzerland Italian	Enrico	106
Switzerland Italian	Dirk	107
Switzerland Italian	Christopher	108
Switzerland Italian	Christof	109
Switzerland Italian	Dieter	110
Switzerland Italian	Mirko	111
Switzerland Italian	Franco	112
Switzerland Italian	Federico	113
Switzerland Italian	Jens	114
Switzerland Italian	Angelo	115
Switzerland Italian	Dennis	116
Switzerland Italian	Giorgio	117
Switzerland Italian	Vincenzo	118
Switzerland Italian	Rico	119
Switzerland Italian	Sacha	120
Switzerland Italian	Gianluca	121
Switzerland Italian	Fabrizio	122
Switzerland Italian	Flavio	123
Switzerland Italian	Felipe	124
Switzerland Italian	Cristian	125
Switzerland Italian	Anton	126
Switzerland Italian	Bertrand	127
Switzerland Italian	Luigi	128
Switzerland Italian	Luc	129
Switzerland Italian	Joachim	130
Switzerland Italian	Marko	131
Switzerland Italian	Gianni	132
Switzerland Italian	Bjørn	133
Switzerland Italian	Björn	134
Switzerland Italian	Maximilian	135
Switzerland Italian	Maurizio	136
Switzerland Italian	Pat	137
Switzerland Italian	Salvatore	138
Switzerland Italian	Joshua	139
Switzerland Italian	Bryan	140
Switzerland Italian	Alessio	141
Switzerland Italian	Giacomo	142
Switzerland Italian	Mirco	143
Switzerland Italian	Danilo	144
Switzerland Italian	Gaël	145
Switzerland Italian	Edward	146
Switzerland Italian	Ronald	147
Switzerland Italian	Johann	148
Switzerland Italian	Gary	149
Switzerland Italian	Aldo	150
Switzerland Italian	Luciano	151
Switzerland Italian	Linus	152
Switzerland Italian	Domenico	153
Switzerland Italian	Tommy	154
Switzerland Italian	Emanuele	155
Switzerland Italian	Charlie	156
Switzerland Italian	Arno	157
Switzerland Italian	Alfredo	158
Switzerland Italian	Ale	159
Switzerland Italian	Roy	160
Switzerland Italian	Marcello	161
Switzerland Italian	Karsten	162
Switzerland Italian	Jochen	163
Switzerland Italian	Enzo	164
Switzerland Italian	Anders	165
Switzerland Italian	Valerio	166
Switzerland Italian	Oli	167
Switzerland Italian	Maik	168
Switzerland Italian	Livio	169
Switzerland Italian	Ken	170
Switzerland Italian	Al	171
Switzerland Italian	Romano	172
