country	name	rank
Albania	Andi	1
Albania	Noel	2
Albania	Ilir	3
Albania	Aron	4
Albania	Elton	5
Albania	Amar	6
Albania	Ardit	7
Albania	Aldo	8
Albania	Ervin	9
Albania	Leon	10
Albania	Ermal	11
Albania	Enea	12
Albania	Altin	13
Albania	Erjon	14
Albania	Denis	15
Albania	Arber	16
Albania	Arben	17
Albania	Dritan	18
Albania	Alban	19
Albania	Samuel	20
Albania	Endri	21
Albania	Kristian	22
Albania	Sokol	23
Albania	Luan	24
Albania	Erion	25
Albania	Florian	26
Albania	Fatjon	27
Albania	Luis	28
Albania	Mario	29
Albania	Dion	30
Albania	Anis	31
Albania	Erlis	32
Albania	Albi	33
Albania	Roan	34
Albania	Erald	35
Albania	Elio	36
Albania	Artur	37
Albania	Arian	38
Albania	Ervis	39
Albania	Klevi	40
Albania	Elvis	41
Albania	Klajdi	42
Albania	Bledi	43
Albania	Arlind	44
Albania	Klevis	45
Albania	Gentian	46
Albania	Besnik	47
Albania	Endrit	48
Albania	Ardian	49
Albania	Indrit	50
Albania	Klodian	51
Albania	Jona	52
Albania	Saimir	53
Albania	Besmir	54
Albania	Ermir	55
Albania	Bledar	56
Albania	Leonard	57
Albania	Kreshnik	58
Albania	Igli	59
Albania	Edmond	60
Albania	Kevin	61
Albania	Gezim	62
Albania	Albert	63
Albania	Jurgen	64
Albania	Eduard	65
Albania	Aleksander	66
Albania	Taulant	67
Albania	Julian	68
Albania	Gjergji	69
Albania	Eduart	70
Albania	Dorian	71
Albania	Artan	72
Albania	Renato	73
Albania	Lulzim	74
Albania	Agim	75
Albania	Shkelzen	76
Albania	Fatmir	77
Albania	Edi	78
Albania	Petrit	79
Albania	Olsi	80
Albania	Genti	81
Albania	Flori	82
Albania	Redi	83
Albania	Fatos	84
Albania	Donald	85
Albania	Daniel	86
Albania	Astrit	87
Albania	Amarildo	88
Albania	Adrian	89
Albania	Rei	90
Albania	Marsel	91
Albania	Bujar	92
Albania	Blerim	93
Albania	Arjan	94
Albania	Alfred	95
Albania	Adi	96
Albania	Lorenc	97
Albania	Edison	98
Albania	Roland	99
Albania	Robert	100
Albania	Gjergj	101
Albania	Florenc	102
Albania	Ardi	103
Albania	Ylli	104
Albania	Toni	105
Albania	Ledio	106
Albania	Klaudio	107
Albania	Ergys	108
Albania	Rezart	109
Albania	Mariglen	110
Albania	Flamur	111
Albania	Eraldo	112
Albania	Dardan	113
Albania	Aurel	114
Albania	Adriatik	115
Albania	Xhulio	116
Albania	Shkelqim	117
Albania	Kujtim	118
Albania	Gent	119
Albania	Mikel	120
Albania	Martin	121
Albania	Kastriot	122
Albania	Jetmir	123
Albania	Ilirjan	124
Albania	Fation	125
Albania	Ergi	126
Albania	Admir	127
Albania	Zef	128
Albania	Shpetim	129
Albania	Pellumb	130
Albania	Laert	131
Albania	Florjan	132
Albania	Bekim	133
Albania	Bashkim	134
Albania	Aldi	135
Albania	Agron	136
Albania	Vladimir	137
Albania	Oltion	138
Albania	Klodi	139
Albania	Gentjan	140
Albania	Genci	141
Albania	Genc	142
Albania	Fitim	143
Albania	Alex	144
Albania	Visar	145
Albania	Skender	146
Albania	Renis	147
Albania	Klodjan	148
Albania	Jeton	149
Albania	Eris	150
Albania	Enri	151
Albania	Enes	152
Albania	Emiljano	153
Albania	Dorjan	154
Albania	Dionis	155
Albania	David	156
Albania	Blendi	157
Albania	Antonio	158
Albania	Xhoni	159
Albania	Urim	160
Albania	Stefan	161
Albania	Skerdi	162
Albania	Olti	163
Albania	Nikolin	164
Albania	Marko	165
Albania	Klejdi	166
Albania	Juxhin	167
Albania	Fisnik	168
Albania	Bora	169
Albania	Besart	170
Albania	Armend	171
Albania	Alket	172
Albania	Albano	173
Albania	Afrim	174
Albania	Zamir	175
Albania	Tani	176
Albania	Romeo	177
Albania	Perparim	178
Albania	Ndricim	179
Albania	Naim	180
Albania	Mark	181
Albania	Just	182
Albania	Juljan	183
Albania	Hasan	184
Albania	Gazmir	185
Albania	Gazmend	186
Albania	Fredi	187
Albania	Ernest	188
Albania	Erblin	189
Albania	Eno	190
Albania	Eldi	191
Albania	Durim	192
Albania	Drilon	193
Albania	Arnold	194
Albania	Albion	195
Albania	Viktor	196
Albania	Vasil	197
Albania	Vangjel	198
Albania	Ted	199
Albania	Spartak	200
Albania	Serxhio	201
Albania	Paulin	202
Albania	Pajtim	203
Albania	Orges	204
Albania	Oliver	205
Albania	Nertil	206
Albania	Murat	207
Albania	Mirel	208
Albania	Liridon	209
Albania	Kushtrim	210
Albania	Fatbardh	211
Albania	Erind	212
